,bowler,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024
62,JD Unadkat,1,6,0,8,110.0,123.0,52.0,200.0,155.0,196.0,100.0,336.0
63,JDS Neesham,5,0,0,0,54.0,18.0,0.0,0.0,70.0,29.0,0.0,0.0
64,JJ Bumrah,19,15,0,20,298.0,327.0,0.0,328.0,395.0,408.0,0.0,367.0
65,JO Holder,13,14,4,0,175.0,266.0,176.0,0.0,231.0,424.0,301.0,0.0
66,JP Behrendorff,0,0,14,0,0.0,0.0,262.0,0.0,0.0,0.0,417.0,0.0
67,JR Hazlewood,11,20,3,0,215.0,289.0,57.0,0.0,316.0,393.0,79.0,0.0
68,K Gowtham,0,5,3,0,0.0,72.0,100.0,13.0,0.0,103.0,122.0,32.0
69,K Kartikeya,0,5,5,0,0.0,78.0,163.0,0.0,0.0,104.0,243.0,0.0
70,K Khejroliya,0,0,2,0,0.0,0.0,28.0,0.0,0.0,0.0,66.0,0.0
71,K Rabada,13,23,7,11,322.0,303.0,147.0,262.0,452.0,442.0,263.0,410.0
72,K Yadav,0,0,2,0,12.0,0.0,42.0,0.0,18.0,0.0,68.0,0.0
73,KA Jamieson,7,0,0,0,135.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0
74,KA Maharaj,0,0,0,2,0.0,0.0,0.0,36.0,0.0,0.0,0.0,39.0
75,KA Pollard,5,4,0,0,79.0,87.0,0.0,0.0,89.0,138.0,0.0,0.0
76,KH Pandya,3,10,9,6,161.0,232.0,253.0,205.0,244.0,277.0,328.0,276.0
77,KK Ahmed,5,16,9,17,168.0,242.0,212.0,324.0,237.0,322.0,333.0,533.0
78,KM Asif,1,0,3,0,14.0,0.0,91.0,0.0,19.0,0.0,149.0,0.0
79,KR Sen,0,8,0,6,0.0,157.0,19.0,79.0,0.0,250.0,31.0,139.0
80,KT Maphaka,0,0,0,1,0.0,0.0,0.0,39.0,0.0,0.0,0.0,94.0
81,KV Sharma,0,0,10,7,0.0,0.0,132.0,149.0,0.0,0.0,238.0,263.0
82,KW Richardson,1,0,0,0,19.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
83,Kartik Tyagi,4,1,1,0,93.0,54.0,44.0,26.0,137.0,85.0,99.0,55.0
84,Kuldeep Yadav,0,21,10,16,0.0,306.0,300.0,267.0,0.0,429.0,377.0,389.0
85,L Ngidi,5,0,0,0,75.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0
86,L Wood,0,0,0,1,0.0,0.0,0.0,38.0,0.0,0.0,0.0,97.0
87,LB Williams,0,0,0,1,0.0,0.0,0.0,42.0,0.0,0.0,0.0,87.0
88,LH Ferguson,13,12,1,9,186.0,298.0,50.0,147.0,234.0,455.0,108.0,268.0
89,LI Meriwala,1,0,0,0,19.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
90,LS Livingstone,0,6,2,3,0.0,144.0,42.0,75.0,0.0,208.0,94.0,91.0
91,Lalit Yadav,4,4,2,0,84.0,110.0,82.0,18.0,101.0,156.0,126.0,58.0
92,M Ashwin,0,9,0,0,37.0,179.0,25.0,0.0,46.0,243.0,54.0,0.0
93,M Jansen,0,7,10,1,0.0,201.0,178.0,68.0,0.0,295.0,299.0,152.0
94,M Markande,0,1,12,8,18.0,42.0,230.0,142.0,26.0,65.0,303.0,269.0
95,M Pathirana,0,2,19,13,0.0,48.0,310.0,145.0,0.0,71.0,443.0,196.0
96,M Prasidh Krishna,9,19,0,0,201.0,432.0,0.0,0.0,296.0,623.0,0.0,0.0
97,M Siddharth,0,0,0,1,0.0,0.0,0.0,58.0,0.0,0.0,0.0,78.0
98,M Theekshana,0,12,11,2,0.0,212.0,298.0,121.0,0.0,275.0,415.0,149.0
99,MA Starc,0,0,0,17,0.0,0.0,0.0,267.0,0.0,0.0,0.0,486.0
100,MA Wood,0,0,11,0,0.0,0.0,102.0,0.0,0.0,0.0,160.0,0.0
101,MC Henriques,4,0,0,0,61.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
102,MG Bracewell,0,0,6,0,0.0,0.0,66.0,0.0,0.0,0.0,95.0,0.0
103,MJ Henry,0,0,0,1,0.0,0.0,0.0,74.0,0.0,0.0,0.0,116.0
104,MJ Santner,0,4,3,2,0.0,114.0,72.0,54.0,0.0,140.0,83.0,64.0
105,MK Lomror,1,0,0,0,43.0,12.0,12.0,9.0,48.0,18.0,17.0,21.0
106,MM Ali,6,8,9,2,135.0,146.0,157.0,49.0,133.0,163.0,202.0,72.0
107,MM Sharma,0,0,27,13,0.0,0.0,268.0,245.0,0.0,0.0,366.0,442.0
108,MP Stoinis,2,4,5,4,50.0,44.0,69.0,87.0,81.0,81.0,106.0,135.0
109,MP Yadav,0,0,0,7,0.0,0.0,0.0,76.0,0.0,0.0,0.0,94.0
110,MR Marsh,0,4,12,1,0.0,76.0,132.0,54.0,0.0,106.0,185.0,109.0
111,Mayank Dagar,0,0,1,1,0.0,0.0,66.0,72.0,0.0,0.0,83.0,129.0
112,Mohammad Nabi,0,0,0,2,24.0,0.0,0.0,74.0,54.0,0.0,0.0,111.0
113,Mohammed Shami,15,20,28,0,285.0,378.0,403.0,0.0,362.0,522.0,561.0,0.0
114,Mohammed Siraj,9,9,19,15,271.0,325.0,329.0,350.0,331.0,564.0,449.0,545.0
115,Mohsin Khan,0,14,3,10,0.0,206.0,64.0,237.0,0.0,219.0,119.0,395.0
116,Mujeeb Ur Rahman,2,0,0,0,26.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
117,Mukesh Choudhary,0,16,0,0,0.0,291.0,0.0,7.0,0.0,444.0,0.0,28.0
118,Mukesh Kumar,0,0,7,17,0.0,0.0,197.0,223.0,0.0,0.0,341.0,400.0
119,Mustafizur Rahman,12,8,1,14,273.0,199.0,42.0,225.0,400.0,259.0,79.0,349.0
120,N Burger,0,0,0,7,0.0,0.0,0.0,105.0,0.0,0.0,0.0,166.0
121,N Rana,0,0,3,0,12.0,12.0,54.0,0.0,12.0,23.0,76.0,0.0
122,N Thushara,0,0,0,8,0.0,0.0,0.0,172.0,0.0,0.0,0.0,279.0
123,NM Coulter-Nile,7,0,0,0,121.0,20.0,0.0,0.0,136.0,52.0,0.0,0.0
124,NT Ellis,1,3,13,1,68.0,40.0,233.0,24.0,94.0,63.0,351.0,24.0
125,Navdeep Saini,0,3,3,0,12.0,39.0,25.0,0.0,27.0,77.0,41.0,0.0
126,Naveen-ul-Haq,0,0,11,14,0.0,0.0,175.0,232.0,0.0,0.0,242.0,391.0
127,Nithish Kumar Reddy,0,0,0,3,0.0,0.0,31.0,87.0,0.0,0.0,55.0,163.0
128,Noor Ahmad,0,0,16,8,0.0,0.0,299.0,214.0,0.0,0.0,397.0,310.0
129,OC McCoy,0,11,0,0,0.0,173.0,7.0,0.0,0.0,265.0,14.0,0.0
130,OF Smith,0,6,0,0,0.0,95.0,0.0,0.0,0.0,185.0,0.0,0.0
131,P Dubey,0,0,1,0,0.0,0.0,19.0,0.0,0.0,0.0,20.0,0.0
132,PH Solanki,0,2,0,0,0.0,36.0,0.0,0.0,0.0,40.0,0.0,0.0
133,PJ Cummins,6,7,0,18,120.0,127.0,0.0,375.0,194.0,238.0,0.0,586.0
134,PJ Sangwan,0,3,0,0,0.0,56.0,0.0,0.0,0.0,69.0,0.0,0.0
135,PP Chawla,1,0,22,13,24.0,0.0,371.0,215.0,38.0,0.0,508.0,321.0
136,PVD Chameera,0,9,0,0,0.0,278.0,0.0,19.0,0.0,420.0,0.0,51.0
137,PWH de Silva,0,26,9,0,36.0,346.0,175.0,0.0,60.0,453.0,262.0,0.0
138,R Ashwin,6,12,14,9,236.0,419.0,309.0,346.0,284.0,527.0,388.0,499.0
139,R Dhawan,0,6,1,0,0.0,119.0,42.0,19.0,0.0,177.0,68.0,44.0
140,R Parag,0,1,0,0,20.0,26.0,0.0,19.0,51.0,61.0,0.0,28.0
141,R Powell,0,0,1,0,0.0,7.0,14.0,0.0,0.0,18.0,20.0,0.0
142,R Sai Kishore,0,6,0,7,0.0,98.0,0.0,93.0,0.0,125.0,0.0,140.0
143,R Shepherd,0,3,0,1,0.0,57.0,0.0,76.0,0.0,103.0,0.0,170.0
144,R Tewatia,8,0,0,0,199.0,36.0,14.0,0.0,299.0,76.0,16.0,0.0
145,RA Jadeja,13,5,20,8,288.0,203.0,348.0,285.0,338.0,261.0,444.0,376.0
146,RD Chahar,9,14,8,10,213.0,290.0,301.0,189.0,255.0,386.0,394.0,284.0
147,RJ Gleeson,0,0,0,1,0.0,0.0,0.0,51.0,0.0,0.0,0.0,77.0
148,RJW Topley,0,0,1,4,0.0,0.0,12.0,95.0,0.0,0.0,14.0,173.0
149,RP Meredith,3,8,7,0,73.0,181.0,126.0,0.0,126.0,267.0,220.0,0.0
150,RS Hangargekar,0,0,3,0,0.0,0.0,43.0,0.0,0.0,0.0,67.0,0.0
