,striker,runs_1,runs_2,balls_faced_1,balls_faced_2,strike_rate_1,strike_rate_2,total_runs,total_balls,total_strike_rate,bowler,wickets_1,wickets_2,total_wickets
243,IK Pathan,562,577,502,479,111.95219123505976,120.45929018789143,1150,985,116.75126903553299,IK Pathan,47,33,80
397,MM Patel,10,29,18,23,55.55555555555556,126.08695652173914,39,41,95.12195122,MM Patel,41,33,74
30,AB Dinda,7,19,22,28,31.818181818181817,67.85714285714286,26,50,52,AB Dinda,37,32,69
531,RP Singh,29,23,36,42,80.55555555555556,54.761904761904766,52,78,66.66666666666666,RP Singh,58,32,90
552,Ravi Bishnoi,6,26,10,42,60,61.904761904761905,32,52,61.53846153846154,Ravi Bishnoi,31,32,63
582,SB Jakati,28,0,30,0,93.33333333333333,0,28,30,93.33333333333333,SB Jakati,15,32,47
341,LH Ferguson,49,19,34,14,144.11764705882354,135.71428571428572,68,48,141.66666666666669,LH Ferguson,15,31,48
492,R Bhatia,168,174,131,159,128.2442748091603,109.43396226415094,342,290,117.9310344827586,R Bhatia,40,31,71
228,HH Pandya,1481,1044,1046,762,141.58699808795413,137.00787401574803,2534,1814,139.69128996692393,HH Pandya,34,30,64
426,Mustafizur Rahman,9,4,8,15,112.5,26.666666666666668,13,23,56.52173913043478,Mustafizur Rahman,32,29,61
268,JH Kallis,934,1493,853,1438,109.49589683470104,103.82475660639778,2427,2291,105.93627237014405,JH Kallis,37,28,65
362,M Prasidh Krishna,2,7,8,16,25,43.75,9,24,37.5,M Prasidh Krishna,21,28,50
375,MC Henriques,729,271,566,235,128.79858657243815,115.31914893617021,1000,801,124.84394506866417,MC Henriques,14,28,42
280,JP Faulkner,225,302,193,212,116.5803109,142.45283018867926,527,406,129.80295566502463,JP Faulkner,32,27,61
401,MP Stoinis,994,872,749,617,132.71028037383178,141.32901134521882,1866,1366,136.60322108345534,MP Stoinis,16,27,43
598,SK Warne,83,115,105,114,79.04761904761905,100.87719298245614,198,219,90.41095890410958,SK Warne,30,27,57
562,S Kaul,10,10,15,21,66.66666666666666,47.61904761904761,20,36,55.55555555555556,S Kaul,32,26,58
162,DE Bollinger,21,0,22,1,95.45454545454545,0,21,23,91.30434782608695,DE Bollinger,12,25,37
247,Iqbal Abdulla,9,79,14,72,64.28571428571429,109.72222222222223,88,86,102.32558139534885,Iqbal Abdulla,15,25,40
639,Shakib Al Hasan,461,332,392,271,117.60204081632652,122.50922509225093,795,665,119.54887218045114,Shakib Al Hasan,38,25,63
678,TU Deshpande,0,21,3,12,0,175,21,15,140,TU Deshpande,17,25,42
358,M Morkel,10,116,20,73,50,158.9041095890411,126,93,135.48387096774192,M Morkel,53,24,77
396,MM Ali,839,323,581,268,144.40619621342512,120.5223880597015,1162,849,136.86690223792698,MM Ali,11,24,35
282,JR Hazlewood,5,14,15,14,33.33333333333333,100,19,29,65.51724137931035,JR Hazlewood,12,23,35
351,M Ashwin,21,14,32,18,65.625,77.77777777777779,35,50,70,M Ashwin,12,23,35
357,M Markande,23,25,17,27,135.29411764705884,92.59259259,48,44,109.09090909090908,M Markande,14,23,37
361,0,0,0,0,0,0,0,0,0,0,M Pathirana,11,23,34
554,S Aravind,9,50,17,42,52.94117647058824,119.04761904761905,59,59,100,S Aravind,22,23,45
560,S Gopal,94,86,94,79,100,108.86075949367088,180,173,104.04624277456647,S Gopal,29,23,52
601,SM Curran,484,399,372,301,130.10752688172042,132.5581395348837,883,673,131.2035661218425,SM Curran,35,23,58
667,TG Southee,81,39,66,42,122.72727272727273,92.85714285714286,120,108,111.11111111111111,TG Southee,24,23,47
308,KK Cooper,54,62,31,39,174.19354838709677,158.97435897435898,116,70,165.71428571428572,KK Cooper,11,22,33
660,T Natarajan,0,3,0,5,0,60,3,5,60,T Natarajan,45,22,67
710,WD Parnell,51,14,55,31,92.72727272727272,45.16129032258064,65,86,75.58139535,WD Parnell,13,22,35
214,GJ Maxwell,1637,1134,1098,743,149.08925318761385,152.62449528936745,2772,1842,150.4885993485342,GJ Maxwell,16,21,37
406,MS Gony,68,31,40,36,170,86.11111111111111,99,76,130.26315789473685,MS Gony,16,21,37
456,P Awana,5,0,11,3,45.45454545454545,0,5,14,35.714285714285715,P Awana,19,20,39
