Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg
Ishan Kishan,"GUJ, MIN",105,2644,28.43,0,
M Vijay,"CSK, DDV, KXI",106,2619,25.93,0,
S P D Smith,"PWI, RRO, RPS, DDV",103,2485,34.51,0,
S E Marsh,KXI,71,2477,39.95,0,
R D Gaikwad,CSK,66,2380,41.75,0,
S R Tendulkar,MIN,78,2334,34.84,0,
R A Tripathi,"RPS, RRO, KKR, SUN",95,2236,27.27,0,
R Dravid,"RCB, RRO",89,2174,28.23,0,
K S Williamson,"SUN, GTI",79,2128,35.47,0,
M E K Hussey,"CSK, MIN",59,1977,38.76,0,
P P Shaw,DDV,79,1892,23.95,0,
D P M D Jayawardene,"KXI, KTK, DDV",80,1802,28.6,0,
N Pooran,"KXI, SUN, LSG",76,1769,32.16,0,
Mandeep Singh,"KKR, KXI, RCB, DDV",111,1706,20.8,0,
K C Sangakkara,"KXI, DCH, SUN",71,1687,25.95,0,
Y B K Jaiswal,RRO,53,1607,32.14,0,
J M Bairstow,"SUN, KXI",50,1589,34.54,0,
D Padikkal,"RCB, RRO, LSG",64,1559,25.15,0,
N V Ojha,"RRO, DDV, SUN",113,1554,20.72,0,
K K Nair,"RCB, RRO, DDV, KXI",76,1496,23.75,0,
S S Tiwary,"MIN, RCB, DDV, RPS",93,1494,28.73,0,
S Badrinath,CSK,95,1441,30.66,0,
E J G Morgan,"RCB, KKR, SUN, KXI",83,1405,22.66,0,
C A Lynn,"DCH, KKR, MIN",42,1329,34.08,0,
S O Hetmeyer,"RCB, DDV, RRO",72,1243,31.08,0,
K M Jadhav,"DDV, KTK, RCB, CSK, SUN",95,1208,22.37,0,
Tilak Varma,MIN,38,1156,39.86,0,
M L Hayden,CSK,32,1107,36.9,0,
M Vohra,"KXI, RCB, RRO, LSG",56,1083,22.1,0,
Sai Sudharsan,GTI,25,1034,47,0,
L R P L Taylor,"RCB, RRO, DDV, PWI",55,1017,25.43,0,
H Klaasen,"RRO, RCB, SUN",35,993,38.19,0,
D P Conway,CSK,23,924,48.63,0,
R K Singh,KKR,46,893,30.79,0,
H H Gibbs,"DCH, MIN",36,886,27.69,0,
R M Patidar,RCB,27,799,34.74,0,
M S Bisla,"KXI, KKR, RCB",39,798,21,0,
Prabhsimran Singh,KXI,34,756,22.24,0,
G C Smith,"RRO, PWI",29,739,28.42,0,
J M Sharma,KXI,40,730,22.81,0,
G J Bailey,"CSK, KXI, RPS",40,663,24.56,0,
T H David,"RCB, MIN",38,659,28.65,0,
E Lewis,"MIN, RRO, LSG",27,654,27.25,0,
P D Salt,"DDV, KKR",21,653,34.37,0,
J J Roy,"GUJ, DDV, SUN, KKR",21,614,32.32,0,
S N Khan,"RCB, KXI, DDV",50,585,22.5,0,
H M Amla,KXI,16,577,44.38,0,
Shahrukh Khan,"KXI, GTI",40,553,19.75,0,
M Manhas,"DDV, PWI, CSK",55,514,22.35,0,
O A Shah,"KKR, KTK, RRO",23,506,33.73,0,
S W Billings,"DDV, CSK, KKR",30,503,19.35,0,
R R Rossouw,"RCB, DDV, KXI",22,473,23.65,0,
S A Asnodkar,RRO,20,423,21.15,0,
M V Boucher,"RCB, KKR",31,394,28.14,0,
C A Pujara,"KKR, RCB, KXI",29,390,20.53,0,
K R Mayers,LSG,13,379,29.15,0,
S Sohal,"KXI, DCH",22,368,18.4,0,
A Porel,DDV,18,360,25.71,0,
N Wadhera,MIN,20,350,23.33,0,
D C Jurel,RRO,28,347,23.13,0,
A P Tare,"MIN, SUN, DDV",35,339,14.13,0,
J Fraser-McGurk,DDV,9,330,36.67,0,
Anuj Rawat,"RRO, RCB",24,318,19.88,0,
D B Das,KKR,31,304,21.71,0,
L A Pommersbach,"KXI, RCB",17,302,27.45,0,
U B T Chand,"DDV, RRO, MIN",21,300,15,0,
S P Goswami,"RCB, KKR, RRO, SUN",31,293,14.65,0,
Rahmanullah Gurbaz,KKR,14,289,22.23,0,
V V S Laxman,"DCH, KTK",20,282,15.67,0,
B Chipli,"RCB, DCH, DDV",23,280,18.67,0,
M J Lumb,"RRO, DCH",12,278,23.17,0,
P B B Rajapaksa,KXI,13,277,23.08,0,
P K Garg,"SUN, DDV",23,273,15.17,0,
M J Guptill,"MIN, KXI, SUN",13,270,22.5,0,
M Kaif,"RRO, KXI, RCB",29,259,14.39,0,
A Taide,KXI,9,247,27.44,0,
S M Katich,KXI,11,241,24.1,0,
M D Mishra,"DCH, PWI",18,237,14.81,0,
A Manohar,GTI,19,231,16.5,0,
R Ravindra,CSK,10,222,22.2,0,
K Goel,KXI,22,218,14.53,0,
C A Ingram,DDV,15,205,17.08,0,
K S Bharat,"RCB, DDV, KKR",10,199,28.43,0,
S P Fleming,CSK,10,196,21.78,0,
A S Raut,RRO,22,194,21.56,0,
B J Rohrer,DDV,8,193,32.17,0,
Salman Butt,KKR,7,193,27.57,0,
Y V Takawale,"MIN, RCB",16,192,24,0,
H C Brook,"SUN, DDV",11,190,21.11,0,
Ashutosh Sharma,KXI,11,189,27,0,
F Y Fazal,RRO,12,183,18.3,0,
S D Hope,DDV,9,183,22.88,0,
M S Wade,"DDV, GTI",15,183,13.07,0,
A C Voges,RRO,9,181,45.25,0,
C Munro,"KKR, DDV",13,177,14.75,0,
D H Yagnik,RRO,25,170,17,0,
C M Gautam,"DDV, MIN",13,169,16.9,0,
M N van Wyk,KKR,5,167,55.67,0,
P A Reddy,"DCH, SUN",12,164,16.4,0,
Angkrish Raghuvanshi,KKR,10,163,23.29,0,
N Jagadeesan,"CSK, KKR",13,162,18,0,
A D Hales,SUN,6,148,24.67,0,
Naman Dhir,MIN,7,140,23.33,0,
N Saini,KXI,10,140,14,0,
Anmolpreet Singh,"MIN, SUN",9,139,15.44,0,
S Anirudha,"CSK, SUN",20,136,17,0,
W Jaffer,RCB,8,130,16.25,0,
Kamran Akmal,RRO,6,128,25.6,0,
P Dogra,"RRO, KXI, KKR",13,127,11.55,0,
U T Khawaja,RPS,6,127,21.17,0,
S S Prabhudessai,RCB,11,126,12.6,0,
M C Juneja,DDV,7,125,17.86,0,
B B Samantray,"DCH, SUN",9,125,25,0,
Harpreet Singh,"KKR, PWI, KXI",9,123,17.57,0,
N K Patel,RRO,9,121,30.25,0,
A C Blizzard,MIN,7,120,17.14,0,
Misbah-ul-Haq,RCB,8,117,16.71,0,
M W Short,KXI,6,117,19.5,0,
Aman Hakim Khan,"KKR, DDV",12,115,12.78,0,
D J Harris,DCH,4,111,27.75,0,
R J Quiney,RRO,7,103,14.71,0,
C J Ferguson,PWI,9,98,16.33,0,
P N Mankad,"KXI, LSG",6,97,32.33,0,
D J Jacobs,MIN,7,92,13.14,0,
P R Shah,"MIN, RRO",16,92,11.5,0,
R T Ponting,"KKR, MIN",10,91,10.11,0,
S Rana,"PWI, RCB",11,91,22.75,0,
A D Nath,"GUJ, KXI, RCB",14,90,9,0,
A P Majumdar,PWI,4,87,21.75,0,
R E Levi,MIN,6,83,13.83,0,
R V Patel,DDV,9,80,16,0,
J R Philippe,RCB,5,78,19.5,0,
I R Jaggi,"DCH, KKR",7,76,15.2,0,
T R Birt,DDV,5,75,15,0,
M Klinger,KTK,4,73,18.25,0,
R R Sarwan,KXI,4,73,18.25,0,
A A Bilakhia,DCH,7,69,13.8,0,
V Sharma,SUN,3,69,69,0,
Anirudh Singh,DCH,5,63,15.75,0,
S P Jackson,KKR,9,61,10.17,0,
Vishnu Vinod,"RCB, MIN",6,56,9.33,0,
M Rawat,"RRO, PWI",18,55,11,0,
A Chopra,KKR,7,53,8.83,0,
K B A Arun Karthik,"CSK, RCB",17,51,10.2,0,
S Rizvi,CSK,8,51,12.75,0,
A G Paunikar,RRO,5,49,9.8,0,
A S Yadav,DCH,8,49,9.8,0,
Tom Kohler-Cadmore,RRO,4,48,16,0,
Yashpal Singh,KKR,8,47,11.75,0,
Sunny Singh,KXI,6,43,10.75,0,
A B Barath,KXI,3,42,21,0,
B R Dunk,MIN,3,40,13.33,0,
L P C Silva,DCH,3,40,20,0,
A U K Pathan,RCB,9,39,7.8,0,
B A Sumanth,DCH,5,35,35,0,
L Ronchi,MIN,5,34,6.8,0,
Shubham Dubey,RRO,4,33,16.5,0,
A T Carey,DDV,3,32,16,0,
N S Naik,"KXI, KKR",4,31,7.75,0,
S Sriram,"RCB, DDV",2,31,15.5,0,
T Taibu,KKR,3,31,10.33,0,
V H Zol,RCB,3,29,14.5,0,
D J Malan,KXI,1,26,26,0,
N L McCullum,PWI,2,26,26,0,
T L Seifert,"KKR, DDV",3,26,8.67,0,
D Shanaka,GTI,3,26,13,0,
S Chanderpaul,RCB,3,25,8.33,0,
S Singh,SUN,6,25,12.5,0,
E R Dwivedi,GUJ,4,24,12,0,
T K Kotian,RRO,1,24,24,0,
A J Turner,"RRO, LSG",6,24,4.8,0,
J Arunkumar,RCB,3,23,7.67,0,
H E van der Dussen,RRO,3,22,11,0,
B Indrajith,KKR,3,21,7,0,
N J Maddinson,RCB,3,20,6.67,0,
R Bishnoi,RCB,3,19,6.33,0,
Y Gnaneswara Rao,KTK,2,19,19,0,
Gulbadin Naib,DDV,2,19,19,0,
D R Martyn,RRO,1,19,19,0,
A Mukund,"CSK, RCB",3,19,9.5,0,
P Ray Barman,RCB,1,19,19,0,
T Banton,KKR,2,18,9,0,
B J Haddin,KKR,1,18,18,0,
D S Lehmann,RRO,2,18,9,0,
Saurav Chauhan,RCB,3,18,6,0,
Sumit Kumar,DDV,4,18,9,0,
Y V Dhull,DDV,4,16,5.33,0,
C K Kapugedera,CSK,5,16,5.33,0,
K S Sharma,LSG,3,16,5.33,0,
S D Lad,MIN,1,15,15,0,
C Madan,MIN,1,15,15,0,
Virat Singh,SUN,3,15,7.5,0,
F Behardien,KXI,3,14,7,0,
M D K J Perera,RRO,2,14,7,0,
D T Patil,RCB,2,13,6.5,0,
D R Shorey,CSK,2,13,6.5,0,
A R Bawne,DDV,1,12,,0,
K Upadhyay,PWI,3,12,,0,
R A Bawa,KXI,2,11,5.5,0,
T S Kohli,"RRO, KXI",4,11,3.67,0,
R K Bhui,"SUN, DDV",4,10,2.5,0,
T D Paine,PWI,2,10,5,0,
K A J Roach,DCH,2,10,10,0,
J E Root,RRO,3,10,10,0,
X T Sargunam,SUN,1,10,10,0,
Arshin Kulkarni,LSG,2,9,4.5,0,
P Chopra,RRO,2,8,8,0,
D Ferreira,RRO,2,8,4,0,
T Srivastava,KXI,7,8,8,0,
U A Birla,PWI,2,7,7,0,
A N Ghosh,KKR,2,7,3.5,0,
I Malhotra,DCH,1,7,,0,
D M Bravo,KKR,1,6,,0,
P S P Handscomb,RPS,2,6,6,0,
S S Shaikh,KKR,2,6,6,0,
M K P A Dananjaya,MIN,1,4,,0,
Litton Das,KKR,1,4,4,0,
R S Sodhi,KXI,3,4,,0,
A Tomar,KKR,1,4,4,0,
Kumar Kushagra,DDV,4,3,1,0,
Younis Khan,RRO,1,3,3,0,
BR Sharath,GTI,1,2,2,0,
H Das,DCH,1,2,2,0,
R S Gavaskar,KKR,2,2,2,0,
Mashrafe Mortaza,KKR,1,2,,0,
Mohammad Ashraful,MIN,1,2,2,0,
S Singh,KXI,1,2,,0,
V S Yeligati,MIN,2,2,2,0,
P A Basith,RRO,1,1,,0,
Manav Suthar,GTI,1,1,1,0,
S Mulani,MIN,2,1,,0,
M Rathee,KXI,1,1,,0,
N J Rimmington,KXI,1,1,,0,
Abdur Razzak,RCB,1,0,,0,
T Baroka,GUJ,1,0,,0,
R R Bhatkal,RCB,1,0,0,0,
R R Bose,KXI,1,0,,0,
G Brar,KXI,1,0,,0,
C J Dala,DDV,1,0,,0,
J L Denly,KKR,1,0,0,0,
K H Devdhar,DCH,1,0,,0,
P Dharmani,KXI,1,0,,0,
C Ganapathy,CSK,1,0,,0,
R Goyal,MIN,1,0,,0,
C J Green,KKR,1,0,,0,
S Joseph,LSG,1,0,,0,
U Kaul,KXI,5,0,,0,
A A Kazi,RCB,1,0,,0,
S Midhun,RRO,1,0,,0,
T Mishra,DCH,1,0,,0,
Monu Kumar,CSK,1,0,,0,
M G Neser,KXI,1,0,,0,
M B Parmar,KKR,1,0,,0,
R Pawar,MIN,1,0,,0,
P Prasanth,KTK,1,0,,0,
R W Price,MIN,1,0,,0,
R Sanjay Yadav,MIN,1,0,0,0,
J S Saxena,KXI,1,0,,0,
R A A Shaikh,MIN,1,0,,0,
H Sharma,RCB,2,0,,0,
Sunny Gupta,DDV,1,0,0,0,
