Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg
D T Christian,"DCH, RCB, RPS, DDV",49,460,14.38,38,31.37
P J Sangwan,"DDV, KKR, GUJ, MIN, GTI",42,26,3.25,38,32.63
G J Maxwell,"DDV, MIN, KXI, RCB",134,2771,24.74,37,35.22
M R Marsh,"DCH, PWI, RPS, SUN, DDV",42,666,19.59,37,21.49
Washington Sundar,"RPS, RCB, SUN",60,378,14,37,35.81
M Gony,"CSK, DCH, KXI, GUJ",44,99,9.9,37,34.78
M Markande,"MIN, RRO, SUN",37,48,16,37,28.89
D E Bollinger,CSK,27,21,21,37,18.73
Yuvraj Singh,"KXI, PWI, RCB, DDV, SUN, MIN",132,2750,24.77,36,29.92
M M Ali,"RCB, CSK",67,1162,22.78,35,25.51
Wanindu Hasaranga,"RCB, SUN",26,72,7.2,35,21.37
W D Parnell,"PWI, DDV, RCB",33,65,6.5,35,26.77
M Ashwin,"RPS, RCB, KXI, MIN, RRO",44,35,3.89,35,33.2
J R Hazlewood,"CSK, RCB",27,19,,35,23.14
P Negi,"DDV, CSK, RCB",50,365,14.04,34,27.62
M Pathirana,CSK,20,0,,34,17.41
K Cooper,RRO,25,116,12.89,33,22.94
R Tewatia,"RRO, KXI, DDV, GTI",93,1013,25.33,32,34.72
N L T C Perera,"CSK, KTK, MIN, SUN, KXI, RPS",37,422,19.18,31,32.77
M Kartik,"KKR, PWI, RCB, KXI",56,113,16.14,31,44.77
C J Jordan,"RCB, SUN, KXI, CSK, MIN",34,81,8.1,30,35.67
C R Woakes,"KKR, RCB, DDV, KXI",21,78,13,30,21.93
Shivam Mavi,"KKR, LSG",32,51,5.67,30,31.4
Azhar Mahmood,"KXI, KKR",23,388,20.42,29,24.14
A B Agarkar,"KKR, DDV",42,179,17.9,29,39.69
Umran Malik,SUN,26,23,11.5,29,26.62
A Zampa,"RPS, RCB, RRO",20,15,3,29,19.24
B A Stokes,"RPS, RRO, CSK",45,935,24.61,28,35.43
D L Vettori,"DDV, RCB",34,121,15.13,28,31.36
P V Tambe,"RRO, GUJ",33,18,9,28,30.46
D P Nannes,"DDV, RCB, CSK",29,4,4,28,28.54
A Singh,RRO,23,2,0.5,28,22.14
Y Dayal,"GTI, RCB",28,0,0,28,32.86
A D Mathews,"KKR, PWI, DDV",49,724,23.35,27,39.96
M F Maharoof,DDV,20,177,17.7,27,19.26
Mohsin Khan,LSG,24,25,8.33,27,25.52
D R Smith,"MIN, DCH, CSK, GUJ",91,2385,28.39,26,31.15
Harmeet Singh,"DCH, KXI",27,18,4.5,26,26.81
S K Raina,"CSK, GUJ",205,5528,32.52,25,45.8
J Botha,"RRO, DDV, KKR",34,409,20.45,25,32
Harpreet Brar,KXI,41,233,21.18,25,35.8
R Dhawan,"MIN, KXI",39,210,19.09,25,35.64
B Lee,"KXI, KKR",38,124,12.4,25,43.8
Naveen-ul-Haq,LSG,18,18,18,25,23.64
M M Theekshana,CSK,27,7,7,25,31.88
H P Rana,KKR,21,2,1,25,23.24
L Ngidi,CSK,14,0,,25,17.92
A S Rajpoot,"CSK, KKR, KXI, RRO",29,26,5.2,24,33.33
Noor Ahmad,GTI,23,13,3.25,24,27.46
M Kumar,DDV,20,10,10,24,28.92
Y Thakur,LSG,19,0,,24,28.79
J-P Duminy,"MIN, DCH, DDV",83,2029,39.78,23,36.26
N A Saini,"RCB, RRO",32,33,8.25,23,42.35
S W Tait,RRO,21,23,7.67,23,27.83
G B Hogg,"RRO, KKR",21,22,7.33,23,24.78
S T R Binny,"MIN, RRO, RCB",95,880,19.13,22,34.45
Sohail Tanvir,RRO,11,36,12,22,12.09
Basil Thampi,"GUJ, SUN, MIN",25,32,32,22,38.45
B W Hilfenhaus,CSK,17,0,,22,21.77
Shahbaz Ahmed,"RCB, SUN",55,536,19.14,21,39.86
K Gowtham,"RRO, KXI, LSG",36,247,13.72,21,38.48
R E van der Merwe,"RCB, DDV",21,159,14.45,21,23.71
A S Joseph,"MIN, GTI, RCB",22,27,27,21,32.9
V Y Mahesh,"DDV, CSK",18,15,7.5,21,23.76
A Symonds,"DCH, MIN",39,974,36.07,20,33.7
M Jansen,"MIN, SUN",21,66,9.43,20,35.75
C Sakariya,"RRO, DDV, KKR",19,20,3.33,20,29.95
A D Mascarenhas,"RRO, KXI",13,79,8.78,19,18.74
J Suchith,"MIN, DDV, SUN",22,70,17.5,19,31.68
K W Richardson,"PWI, RRO, RCB",15,36,12,19,24.89
Mujeeb Ur Rahman,"KXI, SUN, KKR",19,12,4,19,31.16
V G Arora,"KXI, KKR",20,9,4.5,19,30.84
J P Behrendorff,MIN,17,6,,19,29.05
A Madhwal,MIN,13,4,,19,22.32
R P Meredith,"KXI, MIN",18,0,,19,32.21
C H Gayle,"KKR, RCB, KXI",142,4965,39.72,18,40.5
A Ashish Reddy,"DCH, SUN",31,280,18.67,18,22
W P U J C Vaas,DCH,13,81,10.13,18,19.72
Anureet Singh,"KKR, KXI, RRO",23,36,9,18,34.61
N Ellis,KXI,16,19,4.75,18,28.22
B B Sran,"RRO, SUN, KXI, MIN",24,10,10,18,42.06
I C Pandey,"PWI, CSK",25,0,0,18,32.83
B J Hodge,"KKR, KTK, RRO",66,1400,33.33,17,17.82
Bipul Sharma,"KXI, SUN",33,187,23.38,17,33.65
C R D Fernando,MIN,10,4,,17,17.53
C Green,"MIN, RCB",29,707,41.59,16,41.5
D Wiese,"RCB, KKR",18,148,29.6,16,27.5
Mukesh Choudhary,CSK,14,6,6,16,28.19
R G Sharma,"DCH, MIN",257,6628,29.72,15,32.53
L R Shukla,"KKR, DDV",47,405,15,15,31.67
Mohammad Nabi,"SUN, MIN",24,215,13.44,15,34.47
M J Santner,CSK,18,70,11.67,15,28.13
Kartik Tyagi,"RRO, SUN, GTI",20,13,3.25,15,47.53
Y A Abdulla,KXI,11,0,,15,20.47
J R Hopes,"KXI, DDV",21,417,26.06,14,39.14
R Rampaul,RCB,12,51,10.2,14,21.29
D R Sams,"DDV, RCB, MIN",16,44,4.89,14,37.36
A C Thomas,PWI,15,20,10,14,29
S J Srivastava,KXI,14,5,5,14,31.5
K R Sen,RRO,12,0,,14,27.64
S T Jayasuriya,MIN,30,768,27.43,13,28.54
C R Brathwaite,"DDV, SUN, KKR",16,181,13.92,13,29.15
T K Curran,"KKR, RRO, DDV, RCB",13,127,25.4,13,33.08
R R Powar,"KXI, KTK",27,67,22.33,13,40.54
G Coetzee,MIN,10,14,3.5,13,26.23
Vijaykumar Vyshak,RCB,11,14,7,13,30.38
R S Kishore,GTI,10,13,13,13,19.85
C K Langeveldt,"KKR, RCB",7,8,4,13,14.38
S Lamichhane,DDV,9,0,0,13,22.46
R McLaren,"MIN, KXI, KKR",18,159,19.88,12,45.17
Umar Gul,KKR,6,39,13,12,15.33
A N Ahmed,"MIN, RCB",17,36,36,12,40.75
Joginder Sharma,CSK,16,36,9,12,35.83
Karanveer Singh,KXI,9,12,12,12,26.75
B A Bhatt,KXI,17,6,6,12,33.08
G D McGrath,DDV,14,4,4,12,29.75
V R Singh,KXI,19,4,2,12,45.17
Abhishek Sharma,"DDV, SUN",63,1377,25.5,11,35.36
L S Livingstone,"RRO, KXI",39,939,28.45,11,35.73
C J Anderson,"MIN, DDV, RCB",30,538,24.45,11,47.09
R S Bopara,"KXI, SUN",24,531,29.5,11,26.55
D J G Sammy,"SUN, RCB",22,295,19.67,11,31.82
S M Pollock,MIN,13,147,18.38,11,27.36
A B McDonald,"DDV, RCB",11,123,24.6,11,23.73
Ankit Sharma,"DCH, SUN, RRO, RPS",21,72,12,11,38.36
J L Pattinson,MIN,10,15,15,11,29.09
S Badree,"RRO, CSK, RCB",12,13,2.6,11,29
M A Wood,"CSK, LSG",5,12,6,11,16.27
O C McCoy,RRO,8,8,8,11,22.73
T S Mills,"RCB, MIN",10,8,2,11,31.18
Pankaj Singh,"RRO, RCB",17,7,3.5,11,42.55
A Chandila,RRO,12,4,,11,22
J B Little,GTI,11,0,,11,30.82
N Rana,"MIN, KKR",107,2636,28.65,10,25.2
D J Hooda,"RRO, SUN, KXI, LSG",118,1465,18.31,10,53.1
S C Ganguly,"KKR, PWI",59,1349,25.45,10,36.3
Lalit Yadav,DDV,27,305,19.06,10,42.5
B C J Cutting,"RRO, SUN, MIN",21,238,21.64,10,42.9
Kumar Kartikeya,MIN,12,9,4.5,10,32.9
B Laughlin,"CSK, RRO",9,5,2.5,10,28.2
V Pratap Singh,DCH,9,0,0,10,29.6
S Sharma,KKR,13,0,,10,37.2
V Shankar,"CSK, SUN, DDV, GTI",72,1115,25.34,9,38.22
A M Nayar,"MIN, KXI, PWI, RRO",60,672,17.68,9,35.78
J E C Franklin,MIN,20,327,29.73,9,24.22
M N Samuels,"PWI, DDV",15,161,12.38,9,31.56
J D P Oram,"CSK, RRO, MIN",18,106,13.25,9,38.78
Shahid Afridi,DCH,10,81,10.13,9,25
K A Jamieson,RCB,9,65,16.25,9,29.89
P V D Chameera,"LSG, KKR",13,43,10.75,9,48
Rasikh Salam,"MIN, KKR, DDV",11,40,8,9,37.67
K M A Paul,DDV,8,18,3.6,9,26.33
Anand Rajan,"DCH, SUN",9,15,15,9,25.44
A G Murtaza,"MIN, PWI",12,10,10,9,34.78
S M S M Senanayake,KKR,8,10,10,9,23.22
J Theron,"KXI, DCH, RRO",10,10,5,9,32.56
S Singh,CSK,10,7,7,9,28.78
I S Sodhi,RRO,8,7,3.5,9,22.44
Kamran Khan,"RRO, PWI",9,3,3,9,23.78
K P Appanna,RCB,14,2,2,9,31.78
S E Bond,KKR,8,1,1,9,24.89
B E Hendricks,KXI,7,1,1,9,26.11
P Parameswaran,"KTK, RCB",8,1,,9,24.89
D J Hussey,"KKR, KXI, CSK",64,1322,26.98,8,59.25
J D Ryder,"RCB, PWI",29,604,21.57,8,37.88
S B Styris,"DCH, CSK",12,131,18.71,8,34.5
J D S Neesham,"DDV, KXI, MIN, RRO",14,92,10.22,8,41.75
J Yadav,"DDV, MIN, GTI",20,40,10,8,55.63
J Syed Mohammad,RCB,11,29,14.5,8,35.38
K C Cariappa,"KKR, KXI",11,24,8,8,43.5
I Udana,RCB,10,15,5,8,35.25
A A Chavan,RRO,13,12,6,8,40.75
T Thushara,CSK,6,12,6,8,20.13
B A W Mendis,"KKR, PWI",10,3,1.5,8,35.63
Mohammad Asif,DDV,8,3,1.5,8,37
S Sandeep Warrier,"KKR, GTI",10,0,,8,31.63
I D N Thushara,MIN,7,0,,8,32.13
K P Pietersen,"RCB, DDV, RPS",36,1001,37.07,7,30.71
P C Valthaty,"RRO, KXI",23,505,22.95,7,29.29
Swapnil Singh,"KXI, LSG, RCB",14,51,10.2,7,34.43
A Mithun,RCB,16,34,6.8,7,67.43
A F Milne,"RCB, MIN, CSK",10,23,5.75,7,46.71
Akash Deep,RCB,8,19,9.5,7,45.57
M Ntini,CSK,9,11,11,7,34.57
B Stanlake,"RCB, SUN",6,5,,7,28.57
G C Viljoen,KXI,6,3,1.5,7,31.71
H F Gurney,KKR,8,1,,7,34
P Amarnath,CSK,6,0,,7,33.71
K M Asif,"CSK, RRO",7,0,0,7,33
N Burger,RRO,6,0,,7,20.71
A M Salvi,DDV,7,0,,7,28.57
M P Yadav,LSG,4,0,,7,12.14
V Sehwag,"DDV, KXI",104,2728,27.56,6,39.17
Y Venugopal Rao,"DCH, DDV, SUN",65,985,22.39,6,56.17
T L Suman,"DCH, MIN, PWI",43,676,21.13,6,37.17
C de Grandhomme,"KKR, RCB",25,303,18.94,6,55.5
R Singh,"MIN, KKR",20,170,28.33,6,10.5
M A Khan,"MIN, LSG",10,101,25.25,6,50.67
B Akhil,"RCB, KTK",15,76,12.67,6,40.33
M G Bracewell,RCB,5,58,29,6,15.83
D J Willey,"CSK, RCB, LSG",11,53,26.5,6,45.33
O F Smith,KXI,6,51,17,6,29.67
D Pretorius,CSK,7,44,11,6,39.67
R R Raje,MIN,10,20,20,6,34.83
D G Nalkande,GTI,6,12,6,6,24.67
Jaskaran Singh,DCH,8,8,8,6,28.5
V S Malik,"KXI, RRO",13,7,7,6,43.5
Fazalhaq Farooqi,SUN,7,3,,6,37.83
J E Taylor,PWI,5,3,3,6,26.17
S Tyagi,CSK,14,3,3,6,49.17
H K S R Kaluhalamulla,CSK,8,2,2,6,37.17
S S Cottrell,KXI,6,0,0,6,29.33
S Kaushik,GUJ,10,0,0,6,49.5
S Dube,"RCB, RRO, CSK",65,1502,30.04,5,36
T M Dilshan,"DDV, RCB",52,1153,26.81,5,69.6
Gurkeerat Singh,"KXI, RCB",41,511,21.29,5,19.4
P D Collingwood,DDV,8,203,40.6,5,20.2
H R Shokeen,MIN,13,66,22,5,62.8
R V Gomez,"KTK, PWI",13,50,10,5,25.8
S Narwal,"RRO, KKR",7,37,12.33,5,40.4
A P Dole,RRO,3,34,17,5,22.4
A S Roy,"MIN, KKR",11,26,8.67,5,38.2
A V Choudhary,RCB,5,25,25,5,28.8
K L Nagarkoti,"KKR, DDV",12,22,5.5,5,57
R Shukla,"MIN, RRO, DDV",7,19,19,5,41.6
K M D N Kulasekara,CSK,6,5,,5,24
F H Edwards,DCH,6,4,4,5,30.8
R J W Topley,RCB,5,3,,5,36.4
Shoaib Akhtar,KKR,3,2,2,5,10.8
S B Wagh,"RRO, PWI",8,2,1,5,27.4
M de Lange,"KKR, MIN",5,1,1,5,33.8
Shoaib Ahmed,DCH,8,1,0.5,5,30.4
Akash Singh,"RRO, CSK, SUN",7,0,,5,45.4
K Khejroliya,"RCB, KKR",7,0,,5,43.4
S Ladda,"DDV, KKR, GUJ",9,0,0,5,44.8
O R Thomas,RRO,4,0,,5,15.8
V Kohli,RCB,252,8004,38.67,4,92
S Dhawan,"DDV, MIN, DCH, SUN, KXI",222,6769,35.26,4,16.5
R Parag,RRO,70,1173,24.44,4,76.75
T Stubbs,"MIN, DDV",18,405,36.82,4,7.25
Y Nagar,DDV,26,285,20.36,4,31.25
R Shepherd,"SUN, LSG, MIN",10,115,23,4,64.25
W A Mota,KXI,12,56,9.33,4,24.25
S B Bangar,"DCH, KKR",12,49,7,4,54.75
