,striker,runs_1,runs_2,balls_faced_1,balls_faced_2,strike_rate_1,strike_rate_2,total_runs,total_balls,total_strike_rate,bowler,wickets_1,wickets_2,total_wickets
648,Sikandar Raza,33.0,149.0,30.0,113.0,110.00000000000001,131.858407079646,182.0,143.0,127.27272727272727,Sikandar Raza,2.0,1.0,3.0
649,Simarjeet Singh,5.0,2.0,6.0,2.0,83.33333333333334,100.0,7.0,8.0,87.5,Simarjeet Singh,3.0,6.0,9.0
650,Sohail Tanvir,14.0,22.0,14.0,17.0,100.0,129.41176470588235,36.0,31.0,116.12903225806453,Sohail Tanvir,14.0,8.0,22.0
651,Sumit Kumar,2.0,16.0,10.0,16.0,20.0,100.0,18.0,26.0,69.23076923076923,Sumit Kumar,0.0,0.0,0.0
652,Sunny Gupta,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Sunny Gupta,0.0,0.0,0.0
653,Sunny Singh,17.0,26.0,11.0,20.0,154.54545454545453,130.0,43.0,31.0,138.70967741935485,0,0.0,0.0,0.0
654,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Suyash Sharma,3.0,7.0,10.0
655,Swapnil Singh,34.0,17.0,32.0,14.0,106.25,121.42857142857142,51.0,46.0,110.86956521739131,Swapnil Singh,2.0,5.0,7.0
656,T Banton,10.0,8.0,8.0,14.0,125.0,57.14285714285714,18.0,22.0,81.81818181818183,0,0.0,0.0,0.0
657,T Henderson,0.0,11.0,1.0,15.0,0.0,73.33333333333333,11.0,16.0,68.75,T Henderson,1.0,0.0,1.0
658,T Kohler-Cadmore,18.0,30.0,23.0,31.0,78.26086956521739,96.7741935483871,48.0,54.0,88.88888888888889,0,0.0,0.0,0.0
659,T Kohli,11.0,0.0,20.0,0.0,55.00000000000001,0.0,11.0,20.0,55.00000000000001,0,0.0,0.0,0.0
660,T Natarajan,0.0,3.0,0.0,5.0,0.0,60.0,3.0,5.0,60.0,T Natarajan,45.0,22.0,67.0
661,T Shamsi,0.0,2.0,0.0,4.0,0.0,50.0,2.0,4.0,50.0,T Shamsi,1.0,2.0,3.0
662,T Stubbs,206.0,199.0,129.0,110.0,159.68992248062014,180.9090909090909,405.0,239.0,169.4560669456067,T Stubbs,2.0,2.0,4.0
663,T Taibu,31.0,0.0,26.0,0.0,119.23076923076923,0.0,31.0,26.0,119.23076923076923,0,0.0,0.0,0.0
664,T Thushara,9.0,3.0,13.0,6.0,69.23076923076923,50.0,12.0,19.0,63.1578947368421,T Thushara,4.0,4.0,8.0
665,TA Boult,74.0,9.0,58.0,24.0,127.58620689655173,37.5,83.0,82.0,101.21951219512195,TA Boult,61.0,60.0,121.0
666,TD Paine,2.0,8.0,9.0,20.0,22.22222222222222,40.0,10.0,29.0,34.48275862068966,0,0.0,0.0,0.0
667,TG Southee,81.0,39.0,66.0,42.0,122.72727272727273,92.85714285714286,120.0,108.0,111.11111111111111,TG Southee,24.0,23.0,47.0
668,TH David,242.0,417.0,182.0,235.0,132.96703296703296,177.4468085106383,659.0,417.0,158.0335731414868,0,0.0,0.0,0.0
669,TK Curran,36.0,91.0,37.0,71.0,97.2972972972973,128.16901408450704,127.0,108.0,117.59259259259258,TK Curran,6.0,7.0,13.0
670,TL Seifert,2.0,24.0,5.0,21.0,40.0,114.28571428571428,26.0,26.0,100.0,0,0.0,0.0,0.0
671,TL Suman,286.0,390.0,221.0,366.0,129.41176470588235,106.55737704918033,676.0,587.0,115.1618398637138,TL Suman,3.0,3.0,6.0
672,TM Dilshan,573.0,580.0,530.0,517.0,108.11320754716982,112.18568665377175,1153.0,1047.0,110.12416427889207,TM Dilshan,4.0,1.0,5.0
673,TM Head,600.0,172.0,357.0,101.0,168.0672268907563,170.2970297029703,772.0,458.0,168.5589519650655,TM Head,0.0,2.0,2.0
674,TM Srivastava,1.0,7.0,1.0,10.0,100.0,70.0,8.0,11.0,72.72727272727273,0,0.0,0.0,0.0
675,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TP Sudhindra,1.0,0.0,1.0
676,TR Birt,47.0,28.0,28.0,31.0,167.85714285714286,90.32258064516128,75.0,59.0,127.11864406779661,0,0.0,0.0,0.0
677,TS Mills,0.0,8.0,3.0,11.0,0.0,72.72727272727273,8.0,14.0,57.14285714285714,TS Mills,6.0,5.0,11.0
678,TU Deshpande,0.0,21.0,3.0,12.0,0.0,175.0,21.0,15.0,140.0,TU Deshpande,17.0,25.0,42.0
679,Tanush Kotian,0.0,24.0,0.0,32.0,0.0,75.0,24.0,32.0,75.0,0,0.0,0.0,0.0
680,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tejas Baroka,0.0,0.0,0.0
681,Tilak Varma,445.0,711.0,335.0,495.0,132.8358208955224,143.63636363636363,1156.0,830.0,139.27710843373492,Tilak Varma,0.0,0.0,0.0
682,U Kaul,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
683,UA Birla,0.0,7.0,0.0,15.0,0.0,46.666666666666664,7.0,15.0,46.666666666666664,0,0.0,0.0,0.0
684,UBT Chand,124.0,176.0,138.0,176.0,89.85507246376811,100.0,300.0,314.0,95.54140127388536,0,0.0,0.0,0.0
685,UT Khawaja,37.0,90.0,23.0,82.0,160.8695652173913,109.75609756097562,127.0,105.0,120.95238095238095,0,0.0,0.0,0.0
686,UT Yadav,46.0,162.0,67.0,144.0,68.65671641791045,112.5,208.0,211.0,98.5781990521327,UT Yadav,98.0,46.0,144.0
687,Umar Gul,13.0,26.0,6.0,13.0,216.66666666666666,200.0,39.0,19.0,205.26315789473685,Umar Gul,9.0,3.0,12.0
688,Umran Malik,0.0,23.0,1.0,15.0,0.0,153.33333333333334,23.0,16.0,143.75,Umran Malik,17.0,12.0,29.0
