,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven,batting_strike_rate,oversbowled_clean,economyrate,total_runs_scored,Dismissal_Count,Total_batting_average
22,Abdul Basith,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,,1.0,,
23,Abdul Samad,92.0,4.0,169.0,182.0,79.0,7.0,131.0,113.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,9.0,8.0,0.0,0.0,447.0,330.0,1.0,12.0,17.0,135.45,2.0,8.5,447.0,25.0,17.88
24,Abhishek Sharma,98.0,426.0,226.0,484.0,78.0,329.0,166.0,248.0,4.0,0.0,2.0,2.0,63.0,24.0,75.0,42.0,71.0,40.0,133.0,51.0,1234.0,821.0,8.0,204.0,295.0,150.3,34.0,8.68,1234.0,46.0,26.82608695652174
25,Abishek Porel,0.0,0.0,33.0,327.0,0.0,0.0,31.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,244.0,0.0,0.0,0.0,147.54,0.0,,360.0,14.0,25.714285714285715
26,Akash Deep,0.0,0.0,17.0,2.0,0.0,2.0,8.0,2.0,0.0,5.0,1.0,1.0,0.0,119.0,33.0,23.0,0.0,213.0,70.0,57.0,19.0,12.0,7.0,175.0,340.0,158.33,29.1,11.68,19.0,2.0,9.5
27,Akash Madhwal,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,14.0,5.0,0.0,0.0,160.0,119.0,0.0,0.0,232.0,223.0,4.0,5.0,19.0,279.0,455.0,80.0,46.3,9.83,4.0,,
28,Aman Hakim Khan,0.0,5.0,110.0,0.0,0.0,3.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,109.0,0.0,0.0,0.0,105.5,0.0,,115.0,9.0,12.777777777777779
29,Anmolpreet Singh,16.0,13.0,105.0,5.0,14.0,13.0,83.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,117.0,0.0,0.0,0.0,118.8,0.0,,139.0,9.0,15.444444444444445
30,Anuj Rawat,0.0,129.0,91.0,98.0,1.0,123.0,72.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,276.0,0.0,0.0,0.0,115.22,0.0,,318.0,16.0,19.875
31,Arjun Tendulkar,0.0,0.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,68.0,15.0,0.0,0.0,107.0,23.0,13.0,9.0,3.0,83.0,130.0,144.44,13.5,9.63,13.0,1.0,13.0
