,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven,batting_strike_rate,oversbowled_clean,economyrate,total_runs_scored,Dismissal_Count,Total_batting_average
94,JA Richardson,15.0,0.0,0.0,2.0,23.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,37.0,0.0,0.0,25.0,63.0,0.0,0.0,42.0,17.0,25.0,2.0,62.0,105.0,68.0,10.2,10.29,17.0,3.0,5.666666666666667
95,JC Archer,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,227.0,0.0,4.0,4.0,2.0,129.0,227.0,100.0,21.3,10.66,4.0,,
96,JC Buttler,227.0,863.0,392.0,359.0,153.0,596.0,298.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1841.0,1313.0,0.0,0.0,0.0,140.21,0.0,,1841.0,45.0,40.91111111111111
97,JD Unadkat,30.0,59.0,9.0,24.0,25.0,37.0,7.0,27.0,1.0,6.0,0.0,8.0,110.0,123.0,52.0,200.0,155.0,196.0,100.0,336.0,122.0,96.0,15.0,485.0,787.0,127.08,80.5,9.78,122.0,9.0,13.555555555555555
98,JDS Neesham,0.0,31.0,0.0,0.0,2.0,27.0,0.0,0.0,5.0,0.0,0.0,0.0,54.0,18.0,0.0,0.0,70.0,29.0,0.0,0.0,31.0,29.0,5.0,72.0,99.0,106.9,12.0,8.25,31.0,4.0,7.75
99,JE Root,0.0,0.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,66.67,0.0,,10.0,1.0,10.0
100,JJ Bumrah,15.0,0.0,0.0,12.0,14.0,9.0,0.0,12.0,19.0,15.0,0.0,20.0,298.0,327.0,0.0,328.0,395.0,408.0,0.0,367.0,27.0,35.0,54.0,953.0,1170.0,77.14,158.5,7.38,27.0,4.0,6.75
101,JJ Roy,150.0,0.0,285.0,0.0,125.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,321.0,0.0,0.0,0.0,135.51,0.0,,435.0,13.0,33.46153846153846
102,JM Bairstow,181.0,253.0,0.0,298.0,125.0,180.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0,502.0,0.0,0.0,0.0,145.82,0.0,,732.0,27.0,27.11111111111111
103,JM Sharma,0.0,234.0,309.0,187.0,0.0,149.0,205.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0,501.0,0.0,0.0,0.0,145.71,0.0,,730.0,32.0,22.8125
104,JO Holder,81.0,58.0,12.0,0.0,68.0,46.0,12.0,0.0,13.0,14.0,4.0,0.0,175.0,266.0,176.0,0.0,231.0,424.0,301.0,0.0,151.0,126.0,31.0,617.0,956.0,119.84,102.5,9.33,151.0,14.0,10.785714285714286
105,JP Behrendorff,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,417.0,0.0,6.0,9.0,14.0,262.0,417.0,66.67,43.4,9.61,6.0,,
106,JR Hazlewood,0.0,18.0,1.0,0.0,0.0,27.0,2.0,0.0,11.0,20.0,3.0,0.0,215.0,289.0,57.0,0.0,316.0,393.0,79.0,0.0,19.0,29.0,34.0,561.0,788.0,65.52,93.3,8.45,19.0,,
107,K Gowtham,0.0,0.0,61.0,0.0,0.0,2.0,44.0,0.0,0.0,5.0,3.0,0.0,0.0,72.0,100.0,13.0,0.0,103.0,122.0,32.0,61.0,46.0,8.0,185.0,257.0,132.61,30.5,8.43,61.0,5.0,12.2
108,K Kartikeya,0.0,3.0,6.0,0.0,0.0,6.0,7.0,0.0,0.0,5.0,5.0,0.0,0.0,78.0,163.0,0.0,0.0,104.0,243.0,0.0,9.0,13.0,10.0,241.0,347.0,69.23,40.1,8.65,9.0,2.0,4.5
109,K Rabada,4.0,48.0,0.0,20.0,2.0,47.0,2.0,17.0,13.0,23.0,7.0,11.0,322.0,303.0,147.0,262.0,452.0,442.0,263.0,410.0,72.0,68.0,54.0,1034.0,1567.0,105.88,172.2,9.1,72.0,7.0,10.285714285714286
110,K Yadav,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,42.0,0.0,18.0,0.0,68.0,0.0,0.0,4.0,2.0,54.0,86.0,0.0,9.0,9.56,0.0,,
111,KA Jamieson,49.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,49.0,42.0,7.0,135.0,221.0,116.67,22.3,9.91,49.0,4.0,12.25
112,KA Maharaj,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,39.0,1.0,2.0,2.0,36.0,39.0,50.0,6.0,6.5,1.0,1.0,1.0
113,KA Pollard,233.0,144.0,0.0,0.0,163.0,146.0,0.0,0.0,5.0,4.0,0.0,0.0,79.0,87.0,0.0,0.0,89.0,138.0,0.0,0.0,377.0,309.0,9.0,166.0,227.0,122.01,27.4,8.28,377.0,18.0,20.944444444444443
114,KD Karthik,193.0,330.0,140.0,326.0,151.0,188.0,106.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0,640.0,0.0,0.0,0.0,154.53,0.0,,989.0,37.0,26.72972972972973
115,KH Pandya,121.0,183.0,188.0,133.0,110.0,150.0,172.0,112.0,3.0,10.0,9.0,6.0,161.0,232.0,253.0,205.0,244.0,277.0,328.0,276.0,625.0,544.0,28.0,851.0,1125.0,114.89,141.5,7.95,625.0,34.0,18.38235294117647
116,KK Ahmed,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,16.0,9.0,17.0,168.0,242.0,212.0,324.0,237.0,322.0,333.0,533.0,1.0,4.0,47.0,946.0,1425.0,25.0,157.4,9.05,1.0,3.0,0.3333333333333333
117,KK Nair,0.0,16.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,0.0,0.0,0.0,88.89,0.0,,16.0,2.0,8.0
118,KL Nagarkoti,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0
119,KL Rahul,535.0,616.0,274.0,520.0,413.0,472.0,247.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.0,1530.0,0.0,0.0,0.0,127.12,0.0,,1945.0,44.0,44.20454545454545
120,KM Asif,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,14.0,0.0,91.0,0.0,19.0,0.0,149.0,0.0,0.0,2.0,4.0,105.0,168.0,0.0,17.3,9.71,0.0,1.0,0.0
121,KM Jadhav,55.0,0.0,12.0,0.0,55.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,65.0,0.0,0.0,0.0,103.08,0.0,,67.0,4.0,16.75
122,KR Mayers,0.0,0.0,379.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,276.0,0.0,0.0,0.0,137.32,0.0,,379.0,13.0,29.153846153846153
123,KR Sen,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,157.0,19.0,79.0,0.0,250.0,31.0,139.0,0.0,3.0,14.0,255.0,420.0,0.0,42.3,9.93,0.0,,
124,KS Bharat,191.0,8.0,0.0,0.0,161.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,168.0,0.0,0.0,0.0,118.45,0.0,,199.0,7.0,28.428571428571427
125,KS Sharma,0.0,4.0,12.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,25.0,0.0,0.0,0.0,64.0,0.0,,16.0,3.0,5.333333333333333
126,KS Williamson,266.0,216.0,0.0,27.0,247.0,235.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,509.0,0.0,0.0,0.0,100.0,0.0,,509.0,19.0,26.789473684210527
127,KV Sharma,0.0,0.0,3.0,31.0,0.0,0.0,5.0,16.0,0.0,0.0,10.0,7.0,0.0,0.0,132.0,149.0,0.0,0.0,238.0,263.0,34.0,21.0,17.0,281.0,501.0,161.9,46.5,10.77,34.0,5.0,6.8
128,Kartik Tyagi,2.0,7.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,1.0,1.0,0.0,93.0,54.0,44.0,26.0,137.0,85.0,99.0,55.0,9.0,10.0,6.0,217.0,376.0,90.0,36.1,10.42,9.0,3.0,3.0
129,Kuldeep Yadav,0.0,48.0,31.0,47.0,0.0,54.0,50.0,44.0,0.0,21.0,10.0,16.0,0.0,306.0,300.0,267.0,0.0,429.0,377.0,389.0,126.0,148.0,47.0,873.0,1195.0,85.14,145.3,8.22,126.0,6.0,21.0
130,Kumar Kushagra,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,42.86,0.0,,3.0,3.0,1.0
131,L Wood,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,97.0,9.0,3.0,1.0,38.0,97.0,300.0,6.2,15.65,9.0,,
132,LB Williams,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,87.0,1.0,2.0,1.0,42.0,87.0,50.0,7.0,12.43,1.0,,
133,LH Ferguson,18.0,5.0,0.0,1.0,13.0,4.0,0.0,1.0,13.0,12.0,1.0,9.0,186.0,298.0,50.0,147.0,234.0,455.0,108.0,268.0,24.0,18.0,35.0,681.0,1065.0,133.33,113.3,9.4,24.0,3.0,8.0
134,LS Livingstone,42.0,437.0,279.0,111.0,43.0,261.0,175.0,82.0,0.0,6.0,2.0,3.0,0.0,144.0,42.0,75.0,0.0,208.0,94.0,91.0,869.0,561.0,11.0,261.0,393.0,154.9,43.3,9.08,869.0,30.0,28.966666666666665
135,Lalit Yadav,48.0,161.0,66.0,10.0,50.0,152.0,62.0,12.0,4.0,4.0,2.0,0.0,84.0,110.0,82.0,18.0,101.0,156.0,126.0,58.0,285.0,276.0,10.0,294.0,441.0,103.26,49.0,9.0,285.0,16.0,17.8125
136,Liton Das,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,100.0,0.0,,4.0,1.0,4.0
137,M Ashwin,15.0,12.0,0.0,0.0,24.0,14.0,0.0,0.0,0.0,9.0,0.0,0.0,37.0,179.0,25.0,0.0,46.0,243.0,54.0,0.0,27.0,38.0,9.0,241.0,343.0,71.05,40.1,8.55,27.0,5.0,5.4
138,M Jansen,0.0,9.0,39.0,18.0,0.0,7.0,45.0,15.0,0.0,7.0,10.0,1.0,0.0,201.0,178.0,68.0,0.0,295.0,299.0,152.0,66.0,67.0,18.0,447.0,746.0,98.51,74.3,10.04,66.0,7.0,9.428571428571429
139,M Markande,0.0,0.0,21.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,12.0,8.0,18.0,42.0,230.0,142.0,26.0,65.0,303.0,269.0,21.0,14.0,21.0,432.0,663.0,150.0,72.0,9.21,21.0,,
140,M Prasidh Krishna,0.0,6.0,0.0,0.0,1.0,12.0,0.0,0.0,9.0,19.0,0.0,0.0,201.0,432.0,0.0,0.0,296.0,623.0,0.0,0.0,6.0,13.0,28.0,633.0,919.0,46.15,105.3,8.73,6.0,2.0,3.0
141,M Shahrukh Khan,147.0,117.0,156.0,127.0,114.0,118.0,100.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,409.0,0.0,0.0,0.0,133.74,0.0,,547.0,28.0,19.535714285714285
142,M Theekshana,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,12.0,11.0,2.0,0.0,212.0,298.0,121.0,0.0,275.0,415.0,149.0,7.0,7.0,25.0,631.0,839.0,100.0,105.1,7.98,7.0,1.0,7.0
143,M Vohra,21.0,19.0,10.0,0.0,20.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,43.0,0.0,0.0,0.0,116.28,0.0,,50.0,6.0,8.333333333333334
144,MA Agarwal,427.0,196.0,270.0,64.0,314.0,167.0,219.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957.0,759.0,0.0,0.0,0.0,126.09,0.0,,957.0,37.0,25.864864864864863
145,MA Starc,0.0,0.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,486.0,9.0,11.0,17.0,267.0,486.0,81.82,44.3,10.97,9.0,2.0,4.5
146,MA Wood,0.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,160.0,0.0,11.0,5.0,11.0,102.0,160.0,220.0,17.0,9.41,11.0,1.0,11.0
147,MC Henriques,31.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,31.0,32.0,4.0,61.0,50.0,96.88,10.1,4.95,31.0,2.0,15.5
148,MD Shanaka,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,100.0,0.0,,26.0,2.0,13.0
149,MG Bracewell,0.0,0.0,58.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,95.0,0.0,58.0,49.0,6.0,66.0,95.0,118.37,11.0,8.64,58.0,2.0,29.0
150,MJ Santner,0.0,22.0,2.0,14.0,0.0,30.0,4.0,18.0,0.0,4.0,3.0,2.0,0.0,114.0,72.0,54.0,0.0,140.0,83.0,64.0,38.0,52.0,9.0,240.0,287.0,73.08,40.0,7.18,38.0,5.0,7.6
151,MJ Suthar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,,1.0,1.0,1.0
152,MK Lomror,94.0,86.0,135.0,125.0,76.0,60.0,101.0,74.0,1.0,0.0,0.0,0.0,43.0,12.0,12.0,9.0,48.0,18.0,17.0,21.0,440.0,311.0,1.0,76.0,104.0,141.48,12.4,8.39,440.0,24.0,18.333333333333332
153,MK Pandey,193.0,88.0,160.0,42.0,159.0,84.0,149.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,425.0,0.0,0.0,0.0,113.65,0.0,,483.0,22.0,21.954545454545453
154,MM Ali,303.0,244.0,124.0,128.0,235.0,183.0,92.0,105.0,6.0,8.0,9.0,2.0,135.0,146.0,157.0,49.0,133.0,163.0,202.0,72.0,799.0,615.0,25.0,487.0,570.0,129.92,81.1,7.03,799.0,36.0,22.194444444444443
155,MM Sharma,0.0,0.0,0.0,2.0,0.0,0.0,1.0,16.0,0.0,0.0,27.0,13.0,0.0,0.0,268.0,245.0,0.0,0.0,366.0,442.0,2.0,17.0,40.0,513.0,808.0,11.76,85.3,9.47,2.0,2.0,1.0
156,MP Stoinis,75.0,156.0,408.0,388.0,59.0,116.0,281.0,272.0,2.0,4.0,5.0,4.0,50.0,44.0,69.0,87.0,81.0,81.0,106.0,135.0,1027.0,728.0,15.0,250.0,403.0,141.07,41.4,9.73,1027.0,37.0,27.756756756756758
157,MR Marsh,0.0,251.0,128.0,61.0,0.0,192.0,97.0,41.0,0.0,4.0,12.0,1.0,0.0,76.0,132.0,54.0,0.0,106.0,185.0,109.0,440.0,330.0,17.0,262.0,400.0,133.33,43.4,9.22,440.0,21.0,20.952380952380953
158,MS Dhoni,114.0,232.0,104.0,161.0,109.0,198.0,63.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,452.0,0.0,0.0,0.0,135.18,0.0,,611.0,21.0,29.095238095238095
159,MS Wade,0.0,157.0,0.0,4.0,0.0,145.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,152.0,0.0,0.0,0.0,105.92,0.0,,161.0,11.0,14.636363636363637
160,MW Short,0.0,0.0,117.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,99.0,0.0,0.0,0.0,118.18,0.0,,117.0,6.0,19.5
161,Mandeep Singh,15.0,18.0,14.0,0.0,14.0,24.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,54.0,0.0,0.0,0.0,87.04,0.0,,47.0,7.0,6.714285714285714
162,Mayank Dagar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,66.0,72.0,0.0,0.0,83.0,129.0,0.0,1.0,2.0,138.0,212.0,0.0,23.0,9.22,0.0,1.0,0.0
163,Mohammad Nabi,20.0,0.0,0.0,35.0,9.0,0.0,0.0,31.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,74.0,54.0,0.0,0.0,111.0,55.0,40.0,2.0,98.0,165.0,137.5,16.2,10.19,55.0,7.0,7.857142857142857
164,Mohammed Shami,13.0,0.0,5.0,0.0,17.0,0.0,8.0,0.0,15.0,20.0,28.0,0.0,285.0,378.0,403.0,0.0,362.0,522.0,561.0,0.0,18.0,25.0,63.0,1066.0,1445.0,72.0,177.4,8.15,18.0,3.0,6.0
165,Mohammed Siraj,20.0,30.0,1.0,12.0,25.0,33.0,2.0,9.0,9.0,9.0,19.0,15.0,271.0,325.0,329.0,350.0,331.0,564.0,449.0,545.0,63.0,69.0,52.0,1275.0,1889.0,91.3,212.3,8.9,63.0,6.0,10.5
166,Mohit Rathee,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,,1.0,,
167,Mohsin Khan,0.0,23.0,0.0,2.0,0.0,19.0,7.0,1.0,0.0,14.0,3.0,10.0,0.0,206.0,64.0,237.0,0.0,219.0,119.0,395.0,25.0,27.0,27.0,507.0,733.0,92.59,84.3,8.7,25.0,3.0,8.333333333333334
168,Mujeeb Ur Rahman,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,1.0,2.0,26.0,33.0,100.0,4.2,7.86,1.0,,
169,Mukesh Choudhary,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,291.0,0.0,7.0,0.0,444.0,0.0,28.0,6.0,6.0,16.0,298.0,472.0,100.0,49.4,9.55,6.0,1.0,6.0
170,Mukesh Kumar,0.0,0.0,7.0,3.0,0.0,0.0,10.0,10.0,0.0,0.0,7.0,17.0,0.0,0.0,197.0,223.0,0.0,0.0,341.0,400.0,10.0,20.0,24.0,420.0,741.0,50.0,70.0,10.59,10.0,1.0,10.0
171,Mustafizur Rahman,8.0,3.0,1.0,0.0,14.0,5.0,1.0,0.0,12.0,8.0,1.0,14.0,273.0,199.0,42.0,225.0,400.0,259.0,79.0,349.0,12.0,20.0,35.0,739.0,1087.0,60.0,123.1,8.83,12.0,,
172,N Jagadeesan,0.0,40.0,89.0,0.0,0.0,40.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,124.0,0.0,0.0,0.0,104.03,0.0,,129.0,7.0,18.428571428571427
173,N Pooran,85.0,306.0,358.0,499.0,76.0,228.0,217.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1248.0,817.0,0.0,0.0,0.0,152.75,0.0,,1248.0,39.0,32.0
174,N Rana,246.0,361.0,413.0,42.0,221.0,259.0,303.0,35.0,0.0,0.0,3.0,0.0,12.0,12.0,54.0,0.0,12.0,23.0,76.0,0.0,1062.0,818.0,3.0,78.0,111.0,129.83,13.0,8.54,1062.0,41.0,25.902439024390244
175,N Wadhera,0.0,0.0,241.0,109.0,0.0,0.0,171.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,261.0,0.0,0.0,0.0,134.1,0.0,,350.0,15.0,23.333333333333332
176,NA Saini,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,40.0,0.0,,2.0,1.0,2.0
177,NM Coulter-Nile,4.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,121.0,20.0,0.0,0.0,136.0,52.0,0.0,0.0,5.0,7.0,7.0,141.0,188.0,71.43,23.3,8.07,5.0,2.0,2.5
178,NT Ellis,18.0,0.0,1.0,0.0,17.0,2.0,7.0,0.0,1.0,3.0,13.0,1.0,68.0,40.0,233.0,24.0,94.0,63.0,351.0,24.0,19.0,26.0,18.0,365.0,532.0,73.08,60.5,8.79,19.0,4.0,4.75
179,Naman Dhir,0.0,0.0,0.0,140.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,84.0,0.0,0.0,0.0,166.67,0.0,,140.0,6.0,23.333333333333332
180,Navdeep Saini,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,12.0,39.0,25.0,0.0,27.0,77.0,41.0,0.0,2.0,2.0,6.0,76.0,145.0,100.0,12.4,11.69,2.0,1.0,2.0
181,Naveen-ul-Haq,0.0,0.0,16.0,2.0,0.0,0.0,22.0,4.0,0.0,0.0,11.0,14.0,0.0,0.0,175.0,232.0,0.0,0.0,242.0,391.0,18.0,26.0,25.0,407.0,633.0,69.23,67.5,9.38,18.0,1.0,18.0
182,Nithish Kumar Reddy,0.0,0.0,0.0,303.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,3.0,0.0,0.0,31.0,87.0,0.0,0.0,55.0,163.0,303.0,221.0,3.0,118.0,218.0,137.1,19.4,11.24,303.0,9.0,33.666666666666664
183,Noor Ahmad,0.0,0.0,8.0,5.0,0.0,0.0,9.0,9.0,0.0,0.0,16.0,8.0,0.0,0.0,299.0,214.0,0.0,0.0,397.0,310.0,13.0,18.0,24.0,513.0,707.0,72.22,85.3,8.29,13.0,4.0,3.25
184,OC McCoy,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,173.0,7.0,0.0,0.0,265.0,14.0,0.0,8.0,5.0,11.0,180.0,279.0,160.0,30.0,9.3,8.0,1.0,8.0
185,OF Smith,0.0,51.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,185.0,0.0,0.0,51.0,50.0,6.0,95.0,185.0,102.0,15.5,11.94,51.0,3.0,17.0
186,P Dubey,0.0,0.0,16.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,20.0,0.0,16.0,20.0,1.0,19.0,20.0,80.0,3.1,6.45,16.0,1.0,16.0
187,P Simran Singh,19.0,14.0,358.0,334.0,23.0,11.0,245.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,495.0,0.0,0.0,0.0,146.46,0.0,,725.0,31.0,23.387096774193548
188,PBB Rajapaksa,0.0,206.0,71.0,0.0,0.0,137.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,201.0,0.0,0.0,0.0,137.81,0.0,,277.0,13.0,21.307692307692307
189,PD Salt,0.0,0.0,218.0,435.0,0.0,0.0,135.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,385.0,0.0,0.0,0.0,169.61,0.0,,653.0,19.0,34.36842105263158
190,PJ Cummins,93.0,63.0,0.0,136.0,59.0,24.0,0.0,99.0,6.0,7.0,0.0,18.0,120.0,127.0,0.0,375.0,194.0,238.0,0.0,586.0,292.0,182.0,31.0,622.0,1018.0,160.44,103.4,9.85,292.0,13.0,22.46153846153846
191,PJ Sangwan,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,69.0,0.0,0.0,2.0,6.0,3.0,56.0,69.0,33.33,9.2,7.5,2.0,1.0,2.0
192,PK Garg,72.0,46.0,22.0,0.0,75.0,33.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,131.0,0.0,0.0,0.0,106.87,0.0,,140.0,9.0,15.555555555555555
193,PN Mankad,0.0,4.0,93.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,75.0,0.0,0.0,0.0,129.33,0.0,,97.0,3.0,32.333333333333336
194,PP Chawla,0.0,0.0,25.0,15.0,2.0,0.0,22.0,15.0,1.0,0.0,22.0,13.0,24.0,0.0,371.0,215.0,38.0,0.0,508.0,321.0,40.0,39.0,36.0,610.0,867.0,102.56,101.4,8.55,40.0,7.0,5.714285714285714
195,PP Shaw,405.0,283.0,106.0,198.0,265.0,193.0,90.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,673.0,0.0,0.0,0.0,147.4,0.0,,992.0,41.0,24.195121951219512
