,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024
122,KR Sen,0,0,0,0,0,3,0,0
123,KS Bharat,191,8,0,0,161,7,0,0
124,KS Sharma,0,4,12,0,0,4,21,0
125,KS Williamson,266,216,0,27,247,235,0,27
126,KV Sharma,0,0,3,31,0,0,5,16
127,Kartik Tyagi,2,7,0,0,4,6,0,0
128,Kuldeep Yadav,0,48,31,47,0,54,50,44
129,Kumar Kushagra,0,0,0,3,0,0,0,7
130,L Wood,0,0,0,9,0,0,0,3
131,LB Williams,0,0,0,1,0,0,0,2
132,LH Ferguson,18,5,0,1,13,4,0,1
133,LS Livingstone,42,437,279,111,43,261,175,82
134,Lalit Yadav,48,161,66,10,50,152,62,12
135,Liton Das,0,0,4,0,0,0,4,0
136,M Ashwin,15,12,0,0,24,14,0,0
137,M Jansen,0,9,39,18,0,7,45,15
138,M Markande,0,0,21,0,0,0,14,0
139,M Prasidh Krishna,0,6,0,0,1,12,0,0
140,M Shahrukh Khan,147,117,156,127,114,118,100,77
141,M Theekshana,0,7,0,0,0,7,0,0
142,M Vohra,21,19,10,0,20,12,11,0
143,MA Agarwal,427,196,270,64,314,167,219,59
144,MA Starc,0,0,0,9,0,0,0,11
145,MA Wood,0,0,11,0,0,0,5,0
146,MC Henriques,31,0,0,0,32,0,0,0
147,MD Shanaka,0,0,26,0,0,0,26,0
148,MG Bracewell,0,0,58,0,0,0,49,0
149,MJ Santner,0,22,2,14,0,30,4,18
150,MJ Suthar,0,0,0,1,0,0,0,2
151,MK Lomror,94,86,135,125,76,60,101,74
152,MK Pandey,193,88,160,42,159,84,149,33
153,MM Ali,303,244,124,128,235,183,92,105
154,MM Sharma,0,0,0,2,0,0,1,16
155,MP Stoinis,75,156,408,388,59,116,281,272
156,MR Marsh,0,251,128,61,0,192,97,41
157,MS Dhoni,114,232,104,161,109,198,63,82
158,MS Wade,0,157,0,4,0,145,0,7
159,MW Short,0,0,117,0,0,0,99,0
160,Mandeep Singh,15,18,14,0,14,24,16,0
161,Mayank Dagar,0,0,0,0,0,0,0,1
162,Mohammad Nabi,20,0,0,35,9,0,0,31
163,Mohammed Shami,13,0,5,0,17,0,8,0
164,Mohammed Siraj,20,30,1,12,25,33,2,9
165,Mohit Rathee,0,0,1,0,0,0,2,0
166,Mohsin Khan,0,23,0,2,0,19,7,1
167,Mujeeb Ur Rahman,1,0,0,0,1,0,0,0
168,Mukesh Choudhary,0,6,0,0,0,6,0,0
169,Mukesh Kumar,0,0,7,3,0,0,10,10
170,Mustafizur Rahman,8,3,1,0,14,5,1,0
171,N Jagadeesan,0,40,89,0,0,40,84,0
172,N Pooran,85,306,358,499,76,228,217,296
173,N Rana,246,361,413,42,221,259,303,35
174,N Wadhera,0,0,241,109,0,0,171,90
175,NA Saini,2,0,0,0,5,0,0,0
176,NM Coulter-Nile,4,1,0,0,5,2,0,0
177,NT Ellis,18,0,1,0,17,2,7,0
178,Naman Dhir,0,0,0,140,0,0,0,84
179,Navdeep Saini,0,2,0,0,0,2,0,0
180,Naveen-ul-Haq,0,0,16,2,0,0,22,4
181,Nithish Kumar Reddy,0,0,0,303,0,0,0,221
182,Noor Ahmad,0,0,8,5,0,0,9,9
183,OC McCoy,0,8,0,0,0,5,0,0
184,OF Smith,0,51,0,0,0,50,0,0
185,P Dubey,0,0,16,0,0,0,20,0
186,P Simran Singh,19,14,358,334,23,11,245,216
187,PBB Rajapaksa,0,206,71,0,0,137,64,0
188,PD Salt,0,0,218,435,0,0,135,250
189,PJ Cummins,93,63,0,136,59,24,0,99
190,PJ Sangwan,0,2,0,0,0,6,0,0
191,PK Garg,72,46,22,0,75,33,23,0
192,PN Mankad,0,4,93,0,0,1,74,0
193,PP Chawla,0,0,25,15,2,0,22,15
194,PP Shaw,405,283,106,198,265,193,90,125
195,PVD Chameera,0,43,0,0,0,32,0,0
196,PWH de Silva,1,38,33,0,2,48,30,0
197,Q de Kock,295,508,143,250,255,350,103,194
198,R Ashwin,37,191,67,86,38,140,55,76
199,R Dhawan,0,37,20,0,0,41,12,0
200,R Parag,66,183,78,573,67,136,68,407
201,R Powell,0,250,7,103,0,174,9,71
202,R Ravindra,0,0,0,222,0,0,0,146
203,R Sai Kishore,0,0,0,13,0,0,0,6
