,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,bowler,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024
62,DJ Willey,0,18,35,0,0,32,32,0,DJ Willey,0,1,3,0,0,66,94,0,0,78,111,0
63,DL Chahar,1,0,1,0,1,0,2,0,DL Chahar,14,0,13,5,315,0,215,146,434,0,318,207
64,DP Conway,0,252,672,0,0,176,493,0,,,,,,,,,,,,,
65,DR Sams,6,38,0,0,6,40,0,0,DR Sams,1,13,0,0,38,274,0,0,41,407,0,0
66,DT Christian,12,0,0,0,19,0,0,0,DT Christian,4,0,0,0,85,0,0,0,132,0,0,0
67,Dhruv Jurel,0,0,152,195,0,0,93,144,,,,,,,,,,,,,
68,E Lewis,151,73,0,0,96,60,0,0,,,,,,,,,,,,,
69,EJG Morgan,124,0,0,0,132,0,0,0,,,,,,,,,,,,,
70,F du Plessis,621,468,730,438,458,377,483,276,,,,,,,,,,,,,
71,FA Allen,6,8,0,0,12,7,0,0,FA Allen,1,1,0,0,67,24,0,0,91,46,0,0
72,Fazalhaq Farooqi,0,2,1,0,0,8,5,0,Fazalhaq Farooqi,0,2,4,0,0,76,86,0,0,114,127,0
73,G Coetzee,0,0,0,14,0,0,0,22,G Coetzee,0,0,0,13,0,0,0,216,0,0,0,396
74,GD Phillips,26,0,39,0,33,0,22,0,GD Phillips,1,0,1,0,13,0,18,0,21,0,20,0
75,GHS Garton,2,0,0,0,4,0,0,0,GHS Garton,3,0,0,0,97,0,0,0,144,0,0,0
76,GJ Maxwell,415,301,400,52,298,184,225,46,GJ Maxwell,3,6,3,6,99,146,64,98,138,169,98,135
77,Gulbadin Naib,0,0,0,19,0,0,0,15,,,,,,,,,,,,,
78,H Klaasen,0,0,448,479,0,0,262,293,,,,,,,,,,,,,
79,HC Brook,0,0,190,0,0,0,159,0,,,,,,,,,,,,,
80,HE van der Dussen,0,22,0,0,0,25,0,0,,,,,,,,,,,,,
81,HH Pandya,99,487,346,216,89,387,254,154,HH Pandya,0,8,3,11,0,189,156,226,0,236,260,401
82,HR Shokeen,0,43,23,0,0,48,19,0,HR Shokeen,0,2,3,0,0,94,119,0,0,137,202,0
83,HV Patel,55,43,6,13,45,42,6,19,HV Patel,25,19,14,24,310,338,302,317,431,457,504,520
84,Harbhajan Singh,2,0,0,0,2,0,0,0,,,,,,,,,,,,,
85,Harpreet Brar,64,22,52,75,61,25,42,59,Harpreet Brar,5,4,9,7,141,100,166,230,150,155,223,321
86,Harpreet Singh,0,0,76,27,0,0,59,34,,,,,,,,,,,,,
87,Harshit Rana,0,2,0,0,0,2,1,0,Harshit Rana,0,1,5,19,0,31,108,264,0,54,165,398
88,I Sharma,0,0,1,1,0,0,1,8,I Sharma,1,0,10,10,72,0,157,182,99,0,223,291
89,Ishan Kishan,212,418,454,320,159,355,325,222,,,,,,,,,,,,,
90,J Fraser-McGurk,0,0,0,330,0,0,0,150,,,,,,,,,,,,,
91,J Suchith,14,2,0,0,6,8,0,0,J Suchith,0,7,0,0,42,115,0,0,66,150,0,0
92,J Yadav,34,0,0,0,26,0,0,0,J Yadav,2,0,0,0,106,0,24,0,136,0,26,0
93,JA Richardson,15,0,0,2,23,0,0,2,JA Richardson,2,0,0,0,37,0,0,25,63,0,0,42
94,JC Archer,0,0,4,0,0,0,4,0,JC Archer,0,0,2,0,0,0,129,0,0,0,227,0
95,JC Buttler,227,863,392,359,153,596,298,266,,,,,,,,,,,,,
96,JD Unadkat,30,59,9,24,25,37,7,27,JD Unadkat,1,6,0,8,110,123,52,200,155,196,100,336
97,JDS Neesham,0,31,0,0,2,27,0,0,JDS Neesham,5,0,0,0,54,18,0,0,70,29,0,0
98,JE Root,0,0,10,0,0,0,15,0,,,,,,,,,,,,,
99,JJ Bumrah,15,0,0,12,14,9,0,12,JJ Bumrah,19,15,0,20,298,327,0,328,395,408,0,367
100,JJ Roy,150,0,285,0,125,0,196,0,,,,,,,,,,,,,
101,JM Bairstow,181,253,0,298,125,180,0,197,,,,,,,,,,,,,
102,JM Sharma,0,234,309,187,0,149,205,147,,,,,,,,,,,,,
103,JO Holder,81,58,12,0,68,46,12,0,JO Holder,13,14,4,0,175,266,176,0,231,424,301,0
104,JP Behrendorff,0,0,6,0,0,0,9,0,JP Behrendorff,0,0,14,0,0,0,262,0,0,0,417,0
105,JR Hazlewood,0,18,1,0,0,27,2,0,JR Hazlewood,11,20,3,0,215,289,57,0,316,393,79,0
106,K Gowtham,0,0,61,0,0,2,44,0,K Gowtham,0,5,3,0,0,72,100,13,0,103,122,32
107,K Kartikeya,0,3,6,0,0,6,7,0,K Kartikeya,0,5,5,0,0,78,163,0,0,104,243,0
108,K Rabada,4,48,0,20,2,47,2,17,K Rabada,13,23,7,11,322,303,147,262,452,442,263,410
109,K Yadav,0,0,0,0,4,0,0,0,K Yadav,0,0,2,0,12,0,42,0,18,0,68,0
110,KA Jamieson,49,0,0,0,42,0,0,0,KA Jamieson,7,0,0,0,135,0,0,0,221,0,0,0
111,KA Maharaj,0,0,0,1,0,0,0,2,KA Maharaj,0,0,0,2,0,0,0,36,0,0,0,39
112,KA Pollard,233,144,0,0,163,146,0,0,KA Pollard,5,4,0,0,79,87,0,0,89,138,0,0
113,KD Karthik,193,330,140,326,151,188,106,195,,,,,,,,,,,,,
114,KH Pandya,121,183,188,133,110,150,172,112,KH Pandya,3,10,9,6,161,232,253,205,244,277,328,276
115,KK Ahmed,1,0,0,0,2,2,0,0,KK Ahmed,5,16,9,17,168,242,212,324,237,322,333,533
116,KK Nair,0,16,0,0,0,18,0,0,,,,,,,,,,,,,
117,KL Nagarkoti,0,0,0,0,2,0,0,0,,,,,,,,,,,,,
118,KL Rahul,535,616,274,520,413,472,247,398,,,,,,,,,,,,,
119,KM Asif,0,0,0,0,0,0,2,0,KM Asif,1,0,3,0,14,0,91,0,19,0,149,0
120,KM Jadhav,55,0,12,0,55,0,10,0,,,,,,,,,,,,,
121,KR Mayers,0,0,379,0,0,0,276,0,,,,,,,,,,,,,
122,KR Sen,0,0,0,0,0,3,0,0,KR Sen,0,8,0,6,0,157,19,79,0,250,31,139
123,KS Bharat,191,8,0,0,161,7,0,0,,,,,,,,,,,,,
124,KS Sharma,0,4,12,0,0,4,21,0,,,,,,,,,,,,,
125,KS Williamson,266,216,0,27,247,235,0,27,,,,,,,,,,,,,
126,KV Sharma,0,0,3,31,0,0,5,16,KV Sharma,0,0,10,7,0,0,132,149,0,0,238,263
127,Kartik Tyagi,2,7,0,0,4,6,0,0,Kartik Tyagi,4,1,1,0,93,54,44,26,137,85,99,55
