,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven
43,BR Sharath,0,0,0,2,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,0.0,0.0,0.0
44,C Green,0,0,452,255,0,0,287,185,0.0,0.0,6.0,10.0,0.0,0.0,239.0,223.0,0.0,0.0,397.0,319.0,707,472,16.0,462.0,716.0
45,C Sakariya,16,0,4,0,25,0,6,0,11.0,3.0,3.0,0.0,285.0,71.0,55.0,0.0,400.0,96.0,96.0,0.0,20,31,17.0,411.0,592.0
46,CH Gayle,153,0,0,0,131,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,131,0.0,0.0,0.0
47,CH Morris,29,0,0,0,31,0,0,0,12.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,29,31,12.0,218.0,365.0
48,CJ Jordan,32,11,6,0,21,9,13,0,4.0,2.0,3.0,0.0,74.0,80.0,140.0,0.0,112.0,140.0,254.0,0.0,49,43,9.0,294.0,506.0
49,CV Varun,2,12,1,0,4,18,11,0,17.0,6.0,20.0,21.0,367.0,245.0,323.0,309.0,404.0,355.0,473.0,429.0,15,33,64.0,1244.0,1661.0
50,D Brevis,0,161,0,69,0,116,0,60,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,230,176,1.0,3.0,8.0
51,D Ferreira,0,0,0,8,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,11,0.0,0.0,0.0
52,D Padikkal,400,376,261,38,327,317,206,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075,910,0.0,0.0,0.0
53,D Pretorius,0,44,0,0,0,28,0,0,0.0,6.0,0.0,0.0,0.0,138.0,28.0,0.0,0.0,228.0,34.0,0.0,44,28,6.0,166.0,262.0
54,D Wiese,0,0,21,0,0,0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,11,0.0,0.0,0.0
55,DA Miller,62,481,259,210,72,348,184,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012,753,0.0,0.0,0.0
56,DA Warner,138,432,516,168,145,301,406,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1254,982,0.0,0.0,0.0
57,DG Nalkande,0,0,0,12,0,0,1,11,0.0,2.0,1.0,3.0,0.0,33.0,25.0,31.0,0.0,61.0,47.0,49.0,12,12,6.0,89.0,157.0
58,DJ Bravo,47,23,0,0,22,26,0,0,13.0,16.0,0.0,0.0,196.0,229.0,0.0,0.0,256.0,330.0,0.0,0.0,70,48,29.0,425.0,586.0
59,DJ Hooda,96,451,84,145,97,340,93,107,2.0,1.0,0.0,0.0,96.0,24.0,6.0,19.0,136.0,43.0,8.0,23.0,776,637,3.0,145.0,210.0
60,DJ Malan,26,0,0,0,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,26,0.0,0.0,0.0
61,DJ Mitchell,0,33,0,318,0,46,0,228,0.0,0.0,0.0,1.0,0.0,13.0,0.0,38.0,0.0,28.0,0.0,72.0,351,274,1.0,51.0,100.0
62,DJ Willey,0,18,35,0,0,32,32,0,0.0,1.0,3.0,0.0,0.0,66.0,94.0,0.0,0.0,78.0,111.0,0.0,53,64,4.0,160.0,189.0
63,DL Chahar,1,0,1,0,1,0,2,0,14.0,0.0,13.0,5.0,315.0,0.0,215.0,146.0,434.0,0.0,318.0,207.0,2,3,32.0,676.0,959.0
64,DP Conway,0,252,672,0,0,176,493,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924,669,0.0,0.0,0.0
65,DR Sams,6,38,0,0,6,40,0,0,1.0,13.0,0.0,0.0,38.0,274.0,0.0,0.0,41.0,407.0,0.0,0.0,44,46,14.0,312.0,448.0
66,DT Christian,12,0,0,0,19,0,0,0,4.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,12,19,4.0,85.0,132.0
67,Dhruv Jurel,0,0,152,195,0,0,93,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347,237,0.0,0.0,0.0
68,E Lewis,151,73,0,0,96,60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,156,0.0,0.0,0.0
69,EJG Morgan,124,0,0,0,132,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,132,0.0,0.0,0.0
70,F du Plessis,621,468,730,438,458,377,483,276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2257,1594,0.0,0.0,0.0
71,FA Allen,6,8,0,0,12,7,0,0,1.0,1.0,0.0,0.0,67.0,24.0,0.0,0.0,91.0,46.0,0.0,0.0,14,19,2.0,91.0,137.0
72,Fazalhaq Farooqi,0,2,1,0,0,8,5,0,0.0,2.0,4.0,0.0,0.0,76.0,86.0,0.0,0.0,114.0,127.0,0.0,3,13,6.0,162.0,241.0
73,G Coetzee,0,0,0,14,0,0,0,22,0.0,0.0,0.0,13.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,396.0,14,22,13.0,216.0,396.0
