id,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven,batting_strike_rate,oversbowled_clean,economyrate
42,BA Stokes,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,100,0,
43,BR Sharath,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,40,0,
44,C Green,0,0,452,255,0,0,287,185,0,0,6,10,0,0,239,223,0,0,397,319,707,472,16,462,716,149.79,77,9.3
45,C Sakariya,16,0,4,0,25,0,6,0,11,3,3,0,285,71,55,0,400,96,96,0,20,31,17,411,592,64.52,68.3,8.67
46,CH Gayle,153,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,131,0,0,0,116.79,0,
47,CH Morris,29,0,0,0,31,0,0,0,12,0,0,0,218,0,0,0,365,0,0,0,29,31,12,218,365,93.55,36.2,10.08
48,CJ Jordan,32,11,6,0,21,9,13,0,4,2,3,0,74,80,140,0,112,140,254,0,49,43,9,294,506,113.95,49,10.33
49,CV Varun,2,12,1,0,4,18,11,0,17,6,20,21,367,245,323,309,404,355,473,429,15,33,64,1244,1661,45.45,207.2,8.02
50,D Brevis,0,161,0,69,0,116,0,60,0,1,0,0,0,3,0,0,0,8,0,0,230,176,1,3,8,130.68,0.3,26.67
51,D Ferreira,0,0,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,72.73,0,
52,D Padikkal,400,376,261,38,327,317,206,60,0,0,0,0,0,0,0,0,0,0,0,0,1075,910,0,0,0,118.13,0,
53,D Pretorius,0,44,0,0,0,28,0,0,0,6,0,0,0,138,28,0,0,228,34,0,44,28,6,166,262,157.14,27.4,9.56
54,D Wiese,0,0,21,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,0,190.91,0,
55,DA Miller,62,481,259,210,72,348,184,149,0,0,0,0,0,0,0,0,0,0,0,0,1012,753,0,0,0,134.4,0,
56,DA Warner,138,432,516,168,145,301,406,130,0,0,0,0,0,0,0,0,0,0,0,0,1254,982,0,0,0,127.7,0,
57,DG Nalkande,0,0,0,12,0,0,1,11,0,2,1,3,0,33,25,31,0,61,47,49,12,12,6,89,157,100,14.5,10.83
58,DJ Bravo,47,23,0,0,22,26,0,0,13,16,0,0,196,229,0,0,256,330,0,0,70,48,29,425,586,145.83,70.5,8.31
59,DJ Hooda,96,451,84,145,97,340,93,107,2,1,0,0,96,24,6,19,136,43,8,23,776,637,3,145,210,121.82,24.1,8.71
60,DJ Malan,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,100,0,
61,DJ Mitchell,0,33,0,318,0,46,0,228,0,0,0,1,0,13,0,38,0,28,0,72,351,274,1,51,100,128.1,8.3,12.05
62,DJ Willey,0,18,35,0,0,32,32,0,0,1,3,0,0,66,94,0,0,78,111,0,53,64,4,160,189,82.81,26.4,7.16
63,DL Chahar,1,0,1,0,1,0,2,0,14,0,13,5,315,0,215,146,434,0,318,207,2,3,32,676,959,66.67,112.4,8.53
64,DP Conway,0,252,672,0,0,176,493,0,0,0,0,0,0,0,0,0,0,0,0,0,924,669,0,0,0,138.12,0,
65,DR Sams,6,38,0,0,6,40,0,0,1,13,0,0,38,274,0,0,41,407,0,0,44,46,14,312,448,95.65,52,8.62
66,DT Christian,12,0,0,0,19,0,0,0,4,0,0,0,85,0,0,0,132,0,0,0,12,19,4,85,132,63.16,14.1,9.36
67,Dhruv Jurel,0,0,152,195,0,0,93,144,0,0,0,0,0,0,0,0,0,0,0,0,347,237,0,0,0,146.41,0,
68,E Lewis,151,73,0,0,96,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,156,0,0,0,143.59,0,
69,EJG Morgan,124,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,132,0,0,0,93.94,0,
70,F du Plessis,621,468,730,438,458,377,483,276,0,0,0,0,0,0,0,0,0,0,0,0,2257,1594,0,0,0,141.59,0,
71,FA Allen,6,8,0,0,12,7,0,0,1,1,0,0,67,24,0,0,91,46,0,0,14,19,2,91,137,73.68,15.1,9.07
72,Fazalhaq Farooqi,0,2,1,0,0,8,5,0,0,2,4,0,0,76,86,0,0,114,127,0,3,13,6,162,241,23.08,27,8.93
73,G Coetzee,0,0,0,14,0,0,0,22,0,0,0,13,0,0,0,216,0,0,0,396,14,22,13,216,396,63.64,36,11
74,GD Phillips,26,0,39,0,33,0,22,0,1,0,1,0,13,0,18,0,21,0,20,0,65,55,2,31,41,118.18,5.1,8.04
75,GHS Garton,2,0,0,0,4,0,0,0,3,0,0,0,97,0,0,0,144,0,0,0,2,4,3,97,144,50,16.1,8.94
76,GJ Maxwell,415,301,400,52,298,184,225,46,3,6,3,6,99,146,64,98,138,169,98,135,1168,753,18,407,540,155.11,67.5,8
77,Gulbadin Naib,0,0,0,19,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0,0,0,126.67,0,
78,H Klaasen,0,0,448,479,0,0,262,293,0,0,0,0,0,0,0,0,0,0,0,0,927,555,0,0,0,167.03,0,
79,HC Brook,0,0,190,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,190,159,0,0,0,119.5,0,
80,HE van der Dussen,0,22,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,0,0,0,88,0,
81,HH Pandya,99,487,346,216,89,387,254,154,0,8,3,11,0,189,156,226,0,236,260,401,1148,884,22,571,897,129.86,95.1,9.43
82,HR Shokeen,0,43,23,0,0,48,19,0,0,2,3,0,0,94,119,0,0,137,202,0,66,67,5,213,339,98.51,35.3,9.6
83,HV Patel,55,43,6,13,45,42,6,19,25,19,14,24,310,338,302,317,431,457,504,520,117,112,82,1267,1912,104.46,211.1,9.06
84,Harbhajan Singh,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,100,0,
85,Harpreet Brar,64,22,52,75,61,25,42,59,5,4,9,7,141,100,166,230,150,155,223,321,213,187,25,637,849,113.9,106.1,8
86,Harpreet Singh,0,0,76,27,0,0,59,34,0,0,0,0,0,0,0,0,0,0,0,0,103,93,0,0,0,110.75,0,
87,Harshit Rana,0,2,0,0,0,2,1,0,0,1,5,19,0,31,108,264,0,54,165,398,2,3,25,403,617,66.67,67.1,9.2
88,I Sharma,0,0,1,1,0,0,1,8,1,0,10,10,72,0,157,182,99,0,223,291,2,9,21,411,613,22.22,68.3,8.98
89,Ishan Kishan,212,418,454,320,159,355,325,222,0,0,0,0,0,0,0,0,0,0,0,0,1404,1061,0,0,0,132.33,0,
90,J Fraser-McGurk,0,0,0,330,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,330,150,0,0,0,220,0,
91,J Suchith,14,2,0,0,6,8,0,0,0,7,0,0,42,115,0,0,66,150,0,0,16,14,7,157,216,114.29,26.1,8.28
92,J Yadav,34,0,0,0,26,0,0,0,2,0,0,0,106,0,24,0,136,0,26,0,34,26,2,130,162,130.77,21.4,7.57
93,JA Richardson,15,0,0,2,23,0,0,2,2,0,0,0,37,0,0,25,63,0,0,42,17,25,2,62,105,68,10.2,10.29
94,JC Archer,0,0,4,0,0,0,4,0,0,0,2,0,0,0,129,0,0,0,227,0,4,4,2,129,227,100,21.3,10.66
95,JC Buttler,227,863,392,359,153,596,298,266,0,0,0,0,0,0,0,0,0,0,0,0,1841,1313,0,0,0,140.21,0,
96,JD Unadkat,30,59,9,24,25,37,7,27,1,6,0,8,110,123,52,200,155,196,100,336,122,96,15,485,787,127.08,80.5,9.78
97,JDS Neesham,0,31,0,0,2,27,0,0,5,0,0,0,54,18,0,0,70,29,0,0,31,29,5,72,99,106.9,12,8.25
98,JE Root,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,66.67,0,
99,JJ Bumrah,15,0,0,12,14,9,0,12,19,15,0,20,298,327,0,328,395,408,0,367,27,35,54,953,1170,77.14,158.5,7.38
100,JJ Roy,150,0,285,0,125,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,435,321,0,0,0,135.51,0,
101,JM Bairstow,181,253,0,298,125,180,0,197,0,0,0,0,0,0,0,0,0,0,0,0,732,502,0,0,0,145.82,0,
102,JM Sharma,0,234,309,187,0,149,205,147,0,0,0,0,0,0,0,0,0,0,0,0,730,501,0,0,0,145.71,0,
103,JO Holder,81,58,12,0,68,46,12,0,13,14,4,0,175,266,176,0,231,424,301,0,151,126,31,617,956,119.84,102.5,9.33
104,JP Behrendorff,0,0,6,0,0,0,9,0,0,0,14,0,0,0,262,0,0,0,417,0,6,9,14,262,417,66.67,43.4,9.61
105,JR Hazlewood,0,18,1,0,0,27,2,0,11,20,3,0,215,289,57,0,316,393,79,0,19,29,34,561,788,65.52,93.3,8.45
106,K Gowtham,0,0,61,0,0,2,44,0,0,5,3,0,0,72,100,13,0,103,122,32,61,46,8,185,257,132.61,30.5,8.43
107,K Kartikeya,0,3,6,0,0,6,7,0,0,5,5,0,0,78,163,0,0,104,243,0,9,13,10,241,347,69.23,40.1,8.65
108,K Rabada,4,48,0,20,2,47,2,17,13,23,7,11,322,303,147,262,452,442,263,410,72,68,54,1034,1567,105.88,172.2,9.1
109,K Yadav,0,0,0,0,4,0,0,0,0,0,2,0,12,0,42,0,18,0,68,0,0,4,2,54,86,0,9,9.56
110,KA Jamieson,49,0,0,0,42,0,0,0,7,0,0,0,135,0,0,0,221,0,0,0,49,42,7,135,221,116.67,22.3,9.91
111,KA Maharaj,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,36,0,0,0,39,1,2,2,36,39,50,6,6.5
112,KA Pollard,233,144,0,0,163,146,0,0,5,4,0,0,79,87,0,0,89,138,0,0,377,309,9,166,227,122.01,27.4,8.28
