,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,totalrunsscored,totalballsfaced,batting_strike_rate,batting_strike_rate_2021,batting_strike_rate_2022,batting_strike_rate_2023,batting_strike_rate_2024
68,E Lewis,151,73,0,0,96,60,0,0,224,156,143.59,157.29,121.67,0,0
69,EJG Morgan,124,0,0,0,132,0,0,0,124,132,93.94,93.94,0,0,0
70,F du Plessis,621,468,730,438,458,377,483,276,2257,1594,141.59,135.59,124.14,151.14,158.7
71,FA Allen,6,8,0,0,12,7,0,0,14,19,73.68,50,114.29,0,0
72,Fazalhaq Farooqi,0,2,1,0,0,8,5,0,3,13,23.08,0,25,20,0
73,G Coetzee,0,0,0,14,0,0,0,22,14,22,63.64,0,0,0,63.64
74,GD Phillips,26,0,39,0,33,0,22,0,65,55,118.18,78.79,0,177.27,0
75,GHS Garton,2,0,0,0,4,0,0,0,2,4,50,50,0,0,0
76,GJ Maxwell,415,301,400,52,298,184,225,46,1168,753,155.11,139.26,163.59,177.78,113.04
77,Gulbadin Naib,0,0,0,19,0,0,0,15,19,15,126.67,0,0,0,126.67
78,H Klaasen,0,0,448,479,0,0,262,293,927,555,167.03,0,0,170.99,163.48
79,HC Brook,0,0,190,0,0,0,159,0,190,159,119.5,0,0,119.5,0
80,HE van der Dussen,0,22,0,0,0,25,0,0,22,25,88,0,88,0,0
81,HH Pandya,99,487,346,216,89,387,254,154,1148,884,129.86,111.24,125.84,136.22,140.26
82,HR Shokeen,0,43,23,0,0,48,19,0,66,67,98.51,0,89.58,121.05,0
83,HV Patel,55,43,6,13,45,42,6,19,117,112,104.46,122.22,102.38,100,68.42
84,Harbhajan Singh,2,0,0,0,2,0,0,0,2,2,100,100,0,0,0
85,Harpreet Brar,64,22,52,75,61,25,42,59,213,187,113.9,104.92,88,123.81,127.12
86,Harpreet Singh,0,0,76,27,0,0,59,34,103,93,110.75,0,0,128.81,79.41
87,Harshit Rana,0,2,0,0,0,2,1,0,2,3,66.67,0,100,0,0
88,I Sharma,0,0,1,1,0,0,1,8,2,9,22.22,0,0,100,12.5
89,Ishan Kishan,212,418,454,320,159,355,325,222,1404,1061,132.33,133.33,117.75,139.69,144.14
90,J Fraser-McGurk,0,0,0,330,0,0,0,150,330,150,220,0,0,0,220
91,J Suchith,14,2,0,0,6,8,0,0,16,14,114.29,233.33,25,0,0
92,J Yadav,34,0,0,0,26,0,0,0,34,26,130.77,130.77,0,0,0
93,JA Richardson,15,0,0,2,23,0,0,2,17,25,68,65.22,0,0,100
