,Player,Runs_scored_2023,Mathces_played_2023_bt,HS_2023,Batting_avg_2023,Ballsfaced_2023,Batting_strikerate_2023,4s_2023,6s_2023,Wkts_taken_2023,Matches_played_2023_bb,Overs_bowled_2023,Runs_given_2023,Bowling_avg_2023,Bowling_economy_2023,bowling_strikerate_2023,4w_2023,5w_2023
0,Andre Russell,227,14,42,20.64,156,145.51,13,18,7,14,15.1,172,24.57,11.34,13,0,0
1,Anukul Roy,23,4,13*,11.5,19,121.05,3,0,3,4,8,65,21.66,8.12,16,0,0
2,David Wiese,21,3,12*,21,11,190.9,0,3,0,0,0,0,0,0,0,0,0
3,Harshit Rana,0,0,0,0,0,0,0,0,5,6,17,147,29.4,8.64,20.4,0,0
4,Jagadeesan Narayan,89,6,36,14.83,81,109.87,14,1,0,0,0,0,0,0,0,0,0
5,Jason Roy,285,8,61,35.63,188,151.59,36,12,0,0,0,0,0,0,0,0,0
6,Kulwant Khejroliya,0,0,0,0,0,0,0,0,2,2,4.2,64,32,14.76,13,0,0
7,Litton Das,4,1,4,4,4,100,1,0,0,0,0,0,0,0,0,0,0
8,Lockie Ferguson,0,0,0,0,0,0,0,0,1,3,7.4,96,96,12.52,46,0,0
9,Mandeep Singh,14,3,12,4.67,16,87.5,0,1,0,0,0,0,0,0,0,0,0
10,Nitish Rana,413,14,75,31.77,293,140.95,39,20,3,14,8.5,75,25,8.49,17.66,0,0
11,Rahmanullah Gurbaz,227,11,81,20.64,170,133.52,17,15,0,0,0,0,0,0,0,0,0
12,Rinku Singh,474,14,67*,59.25,317,149.52,31,29,0,0,0,0,0,0,0,0,0
13,Shardul Thakur,113,11,68,14.13,70,161.42,13,4,7,11,21,220,31.42,10.47,18,0,0
14,Sunil Narine,21,14,7*,3,25,84,2,1,11,14,48,383,34.81,7.97,26.18,0,0
15,Suyash Sharma,0,0,0,0,0,0,0,0,10,11,39,321,32.1,8.23,23.4,0,0
16,Tim Southee,0,0,0,0,0,0,0,0,2,2,6,79,39.5,13.16,18,0,0
17,Umesh Yadav,19,8,6*,9.5,18,105.55,1,0,1,8,19,189,189,9.94,114,0,0
18,Vaibhav Arora,3,5,2*,-,2,150,0,0,5,5,16,146,29.2,9.12,19.2,0,0
19,Varun Chakaravarthy,1,14,1,1,9,11.11,0,0,20,14,52.4,429,21.45,8.14,15.8,1,0
20,Venkatesh Iyer,404,14,104,28.86,277,145.84,32,21,0,0,0,0,0,0,0,0,0
