POS,Player,Team,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
13,Andre Russell,KKR,17,14,13,28.1,278,5/4,16.35,9.86,9.94,1,0
14,Umesh Yadav,KKR,16,12,12,48.0,339,23/4,21.18,7.06,18.00,1,0
23,Tim Southee,KKR,14,9,9,35.0,275,20/3,19.64,7.85,15.00,0,0
35,Sunil Narine,KKR,9,14,14,56.0,312,21/2,34.66,5.57,37.33,0,0
48,Pat Cummins,KKR,7,5,5,19.5,212,22/3,30.28,10.68,17.00,0,0
53,Varun Chakaravarthy,KKR,6,11,11,39.0,332,22/1,55.33,8.51,39.00,0,0
65,Shivam Mavi,KKR,5,6,6,22.0,227,33/1,45.40,10.31,26.40,0,0
92,Anukul Roy,KKR,1,2,2,7.0,55,28/1,55.00,7.85,42.00,0,0
96,Harshit Rana,KKR,1,2,2,5.0,51,24/1,51.00,10.20,30.00,0,0
