,Unnamed: 0,Player,Runs_scored_2024,HS_2022,Batting_avg_2022,Ballsfaced_2022,Batting_strikerate_2022,4s_2022,6s_2022,Wkts_taken_2022,Overs_bowled_2022,Runs_given_2022,Bowling_avg_2022,Bowling_economy_2022,bowling_strikerate_2022,4w_2022,5w_2022,Matches_in_2022
0,0,Aaron Finch,86,58,17.2,61,140.98,10,3,0,0.0,0,0.0,0.0,0.0,0,0,5
1,1,Abhijeet Tomar,4,4,4,8,50.0,1,0,0,0.0,0,0.0,0.0,0.0,0,0,1
2,2,Ajinkya Rahane,133,44,19,128,103.9,14,4,0,0.0,0,0.0,0.0,0.0,0,0,7
3,3,Aman Khan,5,5,5,3,166.66,1,0,0,0.0,0,0.0,0.0,0.0,0,0,1
4,4,Andre Russell,335,70*,37.22,192,174.47,18,32,17,28.1,278,16.35,9.86,9.94,1,0,14
5,5,Anukul Roy,0,0,0,0,0.0,0,0,1,7.0,55,55.0,7.85,42.0,0,0,2
6,6,B Indrajith,21,15,7,30,70.0,2,0,0,0.0,0,0.0,0.0,0.0,0,0,3
7,7,Harshit Rana,2,2,2,2,100.0,0,0,1,5.0,51,51.0,10.2,30.0,0,0,2
8,8,Nitish Rana,361,57,27.77,251,143.82,29,22,0,0.0,0,0.0,0.0,0.0,0,0,14
9,9,Pat Cummins,63,56*,15.75,24,262.5,5,6,7,19.5,212,30.28,10.68,17.0,0,0,5
10,10,Rasikh Salam,7,7,7,6,116.66,1,0,0,0.0,0,0.0,0.0,0.0,0,0,2
11,11,Rinku Singh,174,42*,34.8,117,148.71,17,7,0,0.0,0,0.0,0.0,0.0,0,0,7
12,12,Sam Billings,169,36,24.14,138,122.46,9,10,0,0.0,0,0.0,0.0,0.0,0,0,8
13,13,Sheldon Jackson,23,8,5.75,26,88.46,0,1,0,0.0,0,0.0,0.0,0.0,0,0,5
14,14,Shivam Mavi,3,2,1.5,7,42.85,0,0,5,22.0,227,45.4,10.31,26.4,0,0,6
15,15,Shreyas Iyer,401,85,30.85,298,134.56,41,11,0,0.0,0,0.0,0.0,0.0,0,0,14
16,16,Sunil Narine,71,22,8.88,40,177.5,6,6,9,56.0,312,34.66,5.57,37.33,0,0,14
17,17,Tim Southee,2,1*,0.5,12,16.66,0,0,14,35.0,275,19.64,7.85,15.0,0,0,9
18,18,Umesh Yadav,55,21,13.75,40,137.5,4,4,16,48.0,339,21.18,7.06,18.0,1,0,12
19,19,Varun Chakaravarthy,12,10*,-,18,66.66,2,0,6,39.0,332,55.33,8.51,39.0,0,0,11
20,20,Venkatesh Iyer,182,50*,16.55,169,107.69,17,7,0,0.0,0,0.0,0.0,0.0,0,0,12
