,Overall_score
0,61.345348244432685
1,51.56623938394726
2,0.0
3,60.053857546788734
4,0.0
5,48.57142857142857
6,0.0
7,88.3917817396278
8,0.0
9,60.516171909614535
10,48.00317663631866
11,75.92087178496665
12,76.42816529147069
13,36.74431129662044
14,69.68897266729502
15,83.95616109986737
