player,seasons
RP Meredith,['2021' '2022' '2023']
RP Singh,['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2016']
RR Bhatkal,['2012']
RR Bose,['2009']
RR Pant,['2016' '2017' '2019' '2018' '2020/21' '2021' '2022' '2024']
RR Powar,['2007/08' '2009' '2009/10' '2011' '2012']
RR Raje,['2007/08' '2009']
RR Rossouw,['2014' '2015' '2023' '2024']
RR Sarwan,['2007/08']
RS Bopara,['2009' '2009/10' '2015']
RS Gavaskar,['2009/10']
RS Hangargekar,['2023']
RS Sodhi,['2009/10']
RT Ponting,['2007/08' '2013']
RV Gomez,['2011' '2013']
RV Patel,['2021' '2022' '2023']
RV Uthappa,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2019' '2018' '2020/21' '2021' '2022']"
RW Price,['2011']
Rahmanullah Gurbaz,['2023' '2024']
Ramandeep Singh,['2022' '2024']
Rashid Khan,['2017' '2019' '2018' '2020/21' '2021' '2022' '2023' '2024']
Rasikh Salam,['2019' '2022' '2024']
Ravi Bishnoi,['2020/21' '2021' '2022' '2023' '2024']
S Anirudha,['2007/08' '2009/10' '2011' '2012' '2013' '2014']
S Aravind,['2011' '2012' '2015' '2016' '2017']
S Badree,['2013' '2014' '2017']
S Badrinath,['2007/08' '2009' '2009/10' '2011' '2012' '2013']
S Chanderpaul,['2007/08']
S Dhawan,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2019' '2018' '2020/21' '2021' '2022' '2023' '2024']"
S Dube,['2019' '2020/21' '2021' '2022' '2023' '2024']
S Gopal,['2014' '2015' '2016' '2019' '2018' '2020/21' '2021' '2022' '2024']
S Joseph,['2024']
S Kaul,['2013' '2014' '2017' '2019' '2018' '2020/21' '2021' '2022']
S Kaushik,['2016' '2017']
S Ladda,['2009/10' '2011' '2013' '2016']
S Lamichhane,['2019' '2018']
S Midhun,['2019']
S Nadeem,"['2011' '2012' '2013' '2014' '2015' '2016' '2017' '2019' '2018' '2020/21'
 '2021']"
S Narwal,['2009/10' '2013']
S Rana,['2011' '2014']
S Randiv,['2011']
S Sandeep Warrier,['2019' '2020/21' '2021' '2024']
S Sohal,['2007/08' '2009' '2011']
S Sreesanth,['2007/08' '2009' '2009/10' '2011' '2013']
S Sriram,['2009/10' '2011']
S Tyagi,['2009' '2009/10']
S Vidyut,['2007/08']
SA Abbott,['2015' '2022']
SA Asnodkar,['2007/08' '2009' '2009/10' '2011']
SA Yadav,"['2012' '2014' '2015' '2016' '2017' '2019' '2018' '2020/21' '2021' '2022'
 '2023' '2024']"
SB Bangar,['2007/08' '2009']
SB Dubey,['2024']
SB Jakati,['2009' '2009/10' '2011' '2012' '2014' '2016' '2017']
SB Joshi,['2007/08']
SB Styris,['2007/08' '2009' '2011']
SB Wagh,['2009/10' '2011']
SC Ganguly,['2007/08' '2009' '2009/10' '2011' '2012']
SC Kuggeleijn,['2019']
SD Chitnis,['2007/08' '2009' '2011' '2012']
SD Hope,['2024']
SD Lad,['2019']
SE Bond,['2009/10']
SE Marsh,['2007/08' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016' '2017']
SE Rutherford,['2019' '2022']
SH Johnson,['2024']
SJ Srivastava,['2009/10' '2011']
SK Raina,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2019' '2018' '2021']"
SK Trivedi,['2007/08' '2009' '2009/10' '2011' '2012' '2013']
SK Warne,['2007/08' '2009' '2009/10' '2011']
SL Malinga,['2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2017' '2019']
SM Boland,['2016']
SM Curran,['2019' '2020/21' '2021' '2023' '2024']
SM Harwood,['2009']
SM Katich,['2007/08' '2009']
SM Pollock,['2007/08']
SMSM Senanayake,['2013']
SN Khan,['2015' '2016' '2019' '2018' '2020/21' '2021' '2022' '2023']
SN Thakur,['2015' '2017' '2019' '2018' '2020/21' '2021' '2022' '2023' '2024']
SO Hetmyer,['2019' '2020/21' '2021' '2022' '2023' '2024']
SP Fleming,['2007/08']
SP Goswami,['2007/08' '2009' '2009/10' '2011' '2012' '2018' '2020/21']
SP Jackson,['2017' '2022']
SP Narine,"['2012' '2013' '2014' '2015' '2016' '2017' '2019' '2018' '2020/21' '2021'
 '2022' '2023' '2024']"
SPD Smith,['2012' '2013' '2014' '2015' '2016' '2017' '2019' '2020/21' '2021']
SR Tendulkar,['2007/08' '2009' '2009/10' '2011' '2012' '2013']
SR Watson,"['2007/08' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016' '2017'
 '2019' '2018' '2020/21']"
SS Agarwal,['2017']
SS Cottrell,['2020/21']
SS Iyer,['2015' '2016' '2017' '2019' '2018' '2020/21' '2021' '2022' '2024']
SS Mundhe,['2011']
SS Prabhudessai,['2022' '2023' '2024']
SS Sarkar,['2009']
SS Shaikh,['2009']
SS Tiwary,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2015' '2016' '2017'
 '2020/21' '2021']"
SSB Magala,['2023']
ST Jayasuriya,['2007/08' '2009' '2009/10']
STR Binny,['2009/10' '2011' '2012' '2013' '2014' '2015' '2016' '2017' '2019' '2018']
SV Samson,"['2013' '2014' '2015' '2016' '2017' '2019' '2018' '2020/21' '2021' '2022'
 '2023' '2024']"
SW Billings,['2016' '2017' '2019' '2018' '2022']
SW Tait,['2009/10' '2011' '2012' '2013']
SZ Mulani,['2024']
Sachin Baby,['2013' '2016' '2017' '2021']
Salman Butt,['2007/08']
Sameer Rizvi,['2024']
Sandeep Sharma,"['2013' '2014' '2015' '2016' '2017' '2019' '2018' '2020/21' '2021' '2022'
 '2023' '2024']"
Sanvir Singh,['2023' '2024']
Saurav Chauhan,['2024']
Shahbaz Ahmed,['2020/21' '2021' '2022' '2023' '2024']
Shahid Afridi,['2007/08']
Shakib Al Hasan,['2011' '2012' '2014' '2015' '2016' '2017' '2019' '2018' '2021']
Shashank Singh,['2022' '2024']
Shivam Mavi,['2018' '2020/21' '2021' '2022']
Shivam Sharma,['2014' '2015']
Shivam Singh,['2024']
Shoaib Ahmed,['2009']
Shoaib Akhtar,['2007/08']
Shoaib Malik,['2007/08']
Shubman Gill,['2019' '2018' '2020/21' '2021' '2022' '2023' '2024']
Sikandar Raza,['2023' '2024']
Simarjeet Singh,['2022' '2024']
Sohail Tanvir,['2007/08']
Sumit Kumar,['2024']
Sunny Gupta,['2012']
Sunny Singh,['2011']
Suyash Sharma,['2023' '2024']
Swapnil Singh,['2016' '2017' '2023' '2024']
T Banton,['2020/21']
T Henderson,['2009']
T Kohler-Cadmore,['2024']
T Kohli,['2007/08' '2009']
T Natarajan,['2017' '2020/21' '2021' '2022' '2023' '2024']
T Shamsi,['2016' '2021']
T Stubbs,['2022' '2023' '2024']
T Taibu,['2007/08']
T Thushara,['2009' '2009/10']
TA Boult,['2015' '2016' '2017' '2019' '2018' '2020/21' '2021' '2022' '2023' '2024']
TD Paine,['2011']
TG Southee,['2011' '2014' '2015' '2016' '2017' '2019' '2018' '2021' '2022' '2023']
TH David,['2021' '2022' '2023' '2024']
TK Curran,['2018' '2020/21' '2021']
TL Seifert,['2021' '2022']
TL Suman,['2009' '2009/10' '2011' '2012' '2013']
TM Dilshan,['2007/08' '2009' '2009/10' '2011' '2012' '2013']
TM Head,['2016' '2017' '2024']
TM Srivastava,['2007/08' '2009']
TP Sudhindra,['2012']
TR Birt,['2011']
TS Mills,['2017' '2022']
TU Deshpande,['2020/21' '2022' '2023' '2024']
Tanush Kotian,['2024']
Tejas Baroka,['2017']
Tilak Varma,['2022' '2023' '2024']
U Kaul,['2007/08']
UA Birla,['2013']
UBT Chand,['2011' '2012' '2013' '2014' '2015' '2016']
UT Khawaja,['2016']
UT Yadav,"['2009/10' '2011' '2012' '2013' '2014' '2015' '2016' '2017' '2019' '2018'
 '2020/21' '2022' '2023' '2024']"
Umar Gul,['2007/08']
Umran Malik,['2021' '2022' '2023' '2024']
V Kaverappa,['2024']
V Kohli,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2019' '2018' '2020/21' '2021' '2022' '2023' '2024']"
V Pratap Singh,['2012']
V Sehwag,['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015']
V Shankar,['2014' '2017' '2019' '2018' '2020/21' '2021' '2022' '2023' '2024']
V Viyaskanth,['2024']
VG Arora,['2022' '2023' '2024']
VH Zol,['2014']
VR Aaron,['2011' '2012' '2014' '2015' '2016' '2017' '2019' '2020/21' '2022']
VR Iyer,['2021' '2022' '2023' '2024']
VRV Singh,['2007/08' '2009' '2009/10']
VS Malik,['2009' '2009/10' '2011' '2013' '2014']
VS Yeligati,['2007/08']
VVS Laxman,['2007/08' '2009' '2009/10' '2011']
VY Mahesh,['2007/08' '2009' '2009/10' '2012']
Vijaykumar Vyshak,['2023' '2024']
Virat Singh,['2021']
Vishnu Vinod,['2017' '2023']
Vivrant Sharma,['2023']
W Jaffer,['2007/08' '2009']
WA Mota,['2007/08' '2009']
WD Parnell,['2011' '2012' '2013' '2014' '2023']
WG Jacks,['2024']
WP Saha,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2018' '2019' '2020/21' '2021' '2022' '2023' '2024']"
WPUJC Vaas,['2007/08' '2009' '2009/10']
Washington Sundar,['2017' '2018' '2019' '2020/21' '2021' '2022' '2023' '2024']
X Thalaivan Sargunam,['2013']
Y Gnaneswara Rao,['2011']
Y Nagar,['2009' '2009/10' '2011' '2012']
Y Prithvi Raj,['2019']
Y Venugopal Rao,['2007/08' '2009' '2009/10' '2011' '2012' '2014']
YA Abdulla,['2009' '2009/10']
YBK Jaiswal,['2020/21' '2021' '2022' '2023' '2024']
YK Pathan,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2019' '2018']"
YS Chahal,"['2013' '2014' '2015' '2016' '2017' '2019' '2018' '2020/21' '2021' '2022'
 '2023' '2024']"
YV Dhull,['2023']
YV Takawale,['2007/08' '2009' '2014']
Yash Dayal,['2022' '2023' '2024']
Yash Thakur,['2023' '2024']
Yashpal Singh,['2009']
Younis Khan,['2007/08']
Yudhvir Singh,['2023' '2024']
Yuvraj Singh,"['2007/08' '2009' '2009/10' '2011' '2013' '2014' '2015' '2016' '2017'
 '2019' '2018']"
Z Khan,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017']"
