player,seasons
C de Grandhomme,['2017' '2019' '2018']
CA Ingram,['2011' '2019']
CA Lynn,['2012' '2014' '2016' '2017' '2019' '2018' '2021']
CA Pujara,['2009/10' '2011' '2012' '2013' '2014']
CH Gayle,"['2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016' '2017' '2019'
 '2018' '2020/21' '2021']"
CH Morris,['2013' '2015' '2016' '2017' '2019' '2018' '2020/21' '2021']
CJ Anderson,['2014' '2015' '2017' '2018']
CJ Dala,['2018']
CJ Ferguson,['2011' '2012']
CJ Green,['2020/21']
CJ Jordan,['2016' '2017' '2018' '2020/21' '2021' '2022' '2023']
CJ McKay,['2012']
CK Kapugedera,['2007/08']
CK Langeveldt,['2009' '2009/10' '2011']
CL White,['2007/08' '2009/10' '2011' '2012' '2013']
CM Gautam,['2013' '2014' '2015']
CR Brathwaite,['2016' '2017' '2019' '2018']
CR Woakes,['2017' '2018' '2021']
CRD Fernando,['2007/08' '2009/10']
CV Varun,['2019' '2020/21' '2021' '2022' '2023' '2024']
D Brevis,['2022' '2024']
D Ferreira,['2024']
D Jansen,['2023']
D Kalyankrishna,['2007/08']
D Padikkal,['2020/21' '2021' '2022' '2023' '2024']
D Pretorius,['2022' '2023']
D Salunkhe,['2007/08']
D Wiese,['2015' '2016' '2023']
D du Preez,['2009']
DA Miller,"['2012' '2013' '2014' '2015' '2016' '2017' '2019' '2018' '2020/21' '2021'
 '2022' '2023' '2024']"
DA Warner,"['2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016' '2017' '2019'
 '2020/21' '2021' '2022' '2023' '2024']"
DAJ Bracewell,['2012']
DB Das,['2007/08' '2012' '2013']
DB Ravi Teja,['2007/08' '2009' '2011' '2012' '2013']
DE Bollinger,['2009/10' '2011' '2012']
DG Nalkande,['2022' '2023' '2024']
DH Yagnik,['2011' '2012' '2013' '2014']
DJ Bravo,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2019' '2018' '2020/21' '2021' '2022']"
DJ Harris,['2012']
DJ Hooda,['2015' '2016' '2017' '2019' '2018' '2020/21' '2021' '2022' '2023' '2024']
DJ Hussey,['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014']
DJ Jacobs,['2011' '2012']
DJ Malan,['2021']
DJ Mitchell,['2022' '2024']
DJ Muthuswami,['2015']
DJ Thornely,['2007/08']
DJ Willey,['2018' '2022' '2023']
DJG Sammy,['2013' '2014' '2015']
DJM Short,['2018']
DL Chahar,['2016' '2017' '2019' '2018' '2020/21' '2021' '2023' '2024']
DL Vettori,['2007/08' '2009' '2009/10' '2011' '2012']
DM Bravo,['2017']
DNT Zoysa,['2007/08']
DP Conway,['2022' '2023']
DP Nannes,['2009' '2009/10' '2011' '2013']
DP Vijaykumar,['2007/08']
DPMD Jayawardene,['2007/08' '2009' '2009/10' '2011' '2012' '2013']
DR Martyn,['2009/10']
DR Sams,['2020/21' '2021' '2022']
DR Shorey,['2018' '2019']
DR Smith,['2007/08' '2009' '2009/10' '2012' '2013' '2014' '2015' '2016' '2017']
DS Kulkarni,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2019' '2018' '2020/21' '2021']"
DS Lehmann,['2007/08']
DT Christian,['2011' '2012' '2013' '2017' '2018' '2021']
DT Patil,['2007/08']
DW Steyn,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2019' '2020/21']"
Dhruv Jurel,['2023' '2024']
E Lewis,['2018' '2019' '2021' '2022']
EJG Morgan,['2009/10' '2011' '2013' '2015' '2016' '2017' '2020/21' '2021']
ER Dwivedi,['2016']
F Behardien,['2016']
F du Plessis,"['2012' '2014' '2015' '2016' '2017' '2019' '2018' '2020/21' '2021' '2022'
 '2023' '2024']"
FA Allen,['2021' '2022']
FH Edwards,['2009']
FY Fazal,['2009/10' '2011']
Fazalhaq Farooqi,['2022' '2023']
G Coetzee,['2024']
G Gambhir,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2018']"
GB Hogg,['2012' '2013' '2015' '2016']
GC Smith,['2007/08' '2009' '2009/10' '2011']
GC Viljoen,['2019']
GD McGrath,['2007/08']
GD Phillips,['2021' '2023']
GH Vihari,['2013' '2015' '2019']
GHS Garton,['2021']
GJ Bailey,['2009' '2009/10' '2014' '2015' '2016']
GJ Maxwell,"['2012' '2013' '2014' '2015' '2016' '2017' '2018' '2020/21' '2021' '2022'
 '2023' '2024']"
GR Napier,['2009']
GS Sandhu,['2015']
Gagandeep Singh,['2007/08']
Gulbadin Naib,['2024']
Gurkeerat Singh,['2012' '2013' '2015' '2016' '2019' '2020/21']
Gurnoor Brar,['2023']
H Das,['2007/08']
H Klaasen,['2018' '2019' '2023' '2024']
H Sharma,['2023' '2024']
HC Brook,['2023']
HE van der Dussen,['2022']
HF Gurney,['2019']
HH Gibbs,['2007/08' '2009' '2009/10' '2012']
HH Pandya,['2015' '2016' '2017' '2019' '2018' '2020/21' '2021' '2022' '2023' '2024']
HM Amla,['2016' '2017']
HR Shokeen,['2022' '2023']
HV Patel,"['2012' '2014' '2015' '2016' '2017' '2019' '2018' '2020/21' '2021' '2022'
 '2023' '2024']"
Harbhajan Singh,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2019' '2018' '2021']"
Harmeet Singh,['2009' '2009/10' '2011' '2012' '2013']
Harmeet Singh (2),['2013']
Harpreet Brar,['2019' '2020/21' '2021' '2022' '2023' '2024']
Harpreet Singh,['2011' '2012' '2023' '2024']
Harshit Rana,['2022' '2023' '2024']
I Malhotra,['2011']
I Sharma,"['2007/08' '2009' '2009/10' '2011' '2013' '2014' '2015' '2016' '2017'
 '2019' '2020/21' '2021' '2023' '2024']"
I Udana,['2020/21']
IC Pandey,['2013' '2014' '2015']
IC Porel,['2021']
IK Pathan,['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2016' '2017']
IR Jaggi,['2011' '2012' '2017']
IS Sodhi,['2019' '2018']
Imran Tahir,['2014' '2015' '2016' '2017' '2019' '2018' '2020/21' '2021']
Iqbal Abdulla,['2007/08' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016' '2017']
Ishan Kishan,['2016' '2017' '2019' '2018' '2020/21' '2021' '2022' '2023' '2024']
J Arunkumar,['2007/08']
J Botha,['2009' '2011' '2012' '2013' '2015']
J Fraser-McGurk,['2024']
