,striker,runs_in_1_2021,runs_in_1_2022,runs_in_1_2023,runs_in_1_2024,runs_in_2_2021,runs_in_2_2022,runs_in_2_2023,runs_in_2_2024
108,K Rabada,0.0,40.0,,1.0,4.0,8.0,0.0,19.0
109,K Yadav,0.0,,,,,,,
110,KA Jamieson,17.0,,,,32.0,,,
111,KA Maharaj,,,,,,,,1.0
112,KA Pollard,93.0,43.0,,,140.0,101.0,,
113,KD Karthik,90.0,212.0,81.0,165.0,103.0,118.0,59.0,161.0
114,KH Pandya,41.0,70.0,100.0,106.0,80.0,113.0,88.0,27.0
115,KK Ahmed,,,,,1.0,0.0,,
116,KK Nair,,16.0,,,,,,
117,KL Nagarkoti,,,,,0.0,,,
118,KL Rahul,222.0,425.0,133.0,306.0,313.0,191.0,141.0,214.0
119,KM Asif,,,,,,,0.0,
120,KM Jadhav,15.0,,12.0,,40.0,,,
121,KR Mayers,,,221.0,,,,158.0,
122,KR Sen,,,,,,0.0,,
123,KS Bharat,57.0,,,,134.0,8.0,,
124,KS Sharma,,,12.0,,,4.0,,
125,KS Williamson,112.0,13.0,,26.0,154.0,203.0,,1.0
126,KV Sharma,,,2.0,11.0,,,1.0,20.0
127,Kartik Tyagi,2.0,,,,,7.0,,
128,Kuldeep Yadav,,3.0,5.0,41.0,,45.0,26.0,6.0
129,Kumar Kushagra,,,,1.0,,,,2.0
130,L Wood,,,,,,,,9.0
131,LB Williams,,,,1.0,,,,
132,LH Ferguson,,5.0,,,18.0,,,1.0
133,LS Livingstone,35.0,318.0,120.0,44.0,7.0,119.0,159.0,67.0
134,Lalit Yadav,14.0,25.0,2.0,,34.0,136.0,64.0,10.0
135,Liton Das,,,4.0,,,,,
136,M Ashwin,15.0,,,,,12.0,,
137,M Jansen,,8.0,17.0,17.0,,1.0,22.0,1.0
138,M Markande,,,,,,,21.0,
139,M Prasidh Krishna,,2.0,,,0.0,4.0,,
140,M Shahrukh Khan,101.0,74.0,112.0,97.0,46.0,43.0,44.0,30.0
141,M Theekshana,,0.0,,,,7.0,,
142,M Vohra,7.0,,10.0,,14.0,19.0,,
143,MA Agarwal,226.0,138.0,107.0,32.0,201.0,58.0,163.0,32.0
144,MA Starc,,,,9.0,,,,
145,MA Wood,,,,,,,11.0,
146,MC Henriques,16.0,,,,15.0,,,
147,MD Shanaka,,,9.0,,,,17.0,
148,MG Bracewell,,,35.0,,,,23.0,
149,MJ Santner,,2.0,2.0,11.0,,20.0,,3.0
150,MJ Suthar,,,,1.0,,,,
151,MK Lomror,75.0,80.0,101.0,52.0,19.0,6.0,34.0,73.0
152,MK Pandey,78.0,77.0,61.0,42.0,115.0,11.0,99.0,
153,MM Ali,172.0,210.0,88.0,62.0,131.0,34.0,36.0,66.0
154,MM Sharma,,,0.0,2.0,,,,
155,MP Stoinis,20.0,56.0,215.0,150.0,55.0,100.0,193.0,238.0
156,MR Marsh,,73.0,29.0,38.0,,178.0,99.0,23.0
157,MS Dhoni,70.0,167.0,70.0,72.0,44.0,65.0,34.0,89.0
158,MS Wade,,58.0,,,,99.0,,4.0
159,MW Short,,,75.0,,,,42.0,
160,Mandeep Singh,15.0,0.0,12.0,,,18.0,2.0,
161,Mayank Dagar,,,,,,,,0.0
162,Mohammad Nabi,,,,24.0,20.0,,,11.0
163,Mohammed Shami,13.0,,0.0,,,,5.0,
164,Mohammed Siraj,8.0,2.0,1.0,,12.0,28.0,,12.0
165,Mohit Rathee,,,1.0,,,,,
166,Mohsin Khan,,13.0,,2.0,,10.0,0.0,
167,Mujeeb Ur Rahman,,,,,1.0,,,
168,Mukesh Choudhary,,4.0,,,,2.0,,
169,Mukesh Kumar,,,,,,,7.0,3.0
170,Mustafizur Rahman,8.0,,1.0,,0.0,3.0,,
171,N Jagadeesan,,40.0,46.0,,,,43.0,
172,N Pooran,38.0,46.0,196.0,293.0,47.0,260.0,162.0,206.0
173,N Rana,117.0,190.0,126.0,42.0,129.0,171.0,287.0,
174,N Wadhera,,,123.0,95.0,,,118.0,14.0
175,NA Saini,,,,,2.0,,,
176,NM Coulter-Nile,4.0,1.0,,,,,,
177,NT Ellis,18.0,0.0,0.0,,,,1.0,
178,Naman Dhir,,,,0.0,,,,140.0
179,Navdeep Saini,,2.0,,,,,,
180,Naveen-ul-Haq,,,2.0,,,,14.0,2.0
181,Nithish Kumar Reddy,,,,224.0,,,,79.0
182,Noor Ahmad,,,0.0,1.0,,,8.0,4.0
183,OC McCoy,,8.0,,,,,,
184,OF Smith,,26.0,,,,25.0,,
185,P Dubey,,,,,,,16.0,
186,P Simran Singh,19.0,14.0,235.0,141.0,,,123.0,193.0
187,PBB Rajapaksa,,110.0,71.0,,,96.0,,
188,PD Salt,,,26.0,248.0,,,192.0,187.0
189,PJ Cummins,21.0,3.0,,100.0,72.0,60.0,,36.0
190,PJ Sangwan,,2.0,,,,,,
191,PK Garg,43.0,46.0,10.0,,29.0,,12.0,
192,PN Mankad,,,26.0,,,4.0,67.0,
193,PP Chawla,0.0,,7.0,4.0,,,18.0,11.0
194,PP Shaw,189.0,136.0,76.0,67.0,216.0,147.0,30.0,131.0
195,PVD Chameera,,18.0,,,,25.0,,
196,PWH de Silva,1.0,8.0,26.0,,,30.0,7.0,
