,player,batting_avg_2021_innings_1,batting_avg_2021_innings_2,batting_avg_2022_innings_1,batting_avg_2022_innings_2,batting_avg_2023_innings_1,batting_avg_2023_innings_2,batting_avg_2024_innings_1,batting_avg_2024_innings_2,dismissals_2021_innings_1,dismissals_2021_innings_2,dismissals_2022_innings_1,dismissals_2022_innings_2,dismissals_2023_innings_1,dismissals_2023_innings_2,dismissals_2024_innings_1,dismissals_2024_innings_2,runs_scored_2021_innings_1,runs_scored_2021_innings_2,runs_scored_2022_innings_1,runs_scored_2022_innings_2,runs_scored_2023_innings_1,runs_scored_2023_innings_2,runs_scored_2024_innings_1,runs_scored_2024_innings_2,strike_rate_2021_innings_1,strike_rate_2021_innings_2,strike_rate_2022_innings_1,strike_rate_2022_innings_2,strike_rate_2023_innings_1,strike_rate_2023_innings_2,strike_rate_2024_innings_1,strike_rate_2024_innings_2
110,KA Jamieson,17.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,17,32,0,0,0,0,0,0,94.44,133.33,0.0,0.0,0.0,0.0,0.0,0.0
111,KA Maharaj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
112,KA Pollard,23.25,70.0,10.75,16.83,0.0,0.0,0.0,0.0,4,2,4,6,0,0,0,0,93,140,43,101,0,0,0,0,112.05,175.0,113.16,93.52,0.0,0.0,0.0,0.0
113,KD Karthik,22.5,17.17,70.67,39.33,10.12,14.75,27.5,53.67,4,6,3,3,8,4,6,3,90,103,212,118,81,59,165,161,132.35,124.1,178.15,171.01,132.79,131.11,163.37,171.28
114,KH Pandya,10.25,20.0,17.5,22.6,25.0,12.57,53.0,13.5,4,4,4,5,4,7,2,2,41,80,70,113,100,88,106,27,97.62,117.65,111.11,129.89,114.94,103.53,134.18,81.82
115,KK Ahmed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
116,KK Nair,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0.0,0.0,88.89,0.0,0.0,0.0,0.0,0.0
117,KL Nagarkoti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,KL Rahul,37.0,104.33,85.0,27.29,33.25,35.25,38.25,35.67,6,3,5,7,4,4,8,6,222,313,425,191,133,141,306,214,118.72,138.5,142.14,110.4,117.7,105.22,130.77,130.49
119,KM Asif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,KM Jadhav,15.0,13.33,0.0,0.0,12.0,0.0,0.0,0.0,1,3,0,0,0,0,0,0,15,40,0,0,12,0,0,0,125.0,93.02,0.0,0.0,120.0,0.0,0.0,0.0
121,KR Mayers,0.0,0.0,0.0,0.0,44.2,19.75,0.0,0.0,0,0,0,0,5,8,0,0,0,0,0,0,221,158,0,0,0.0,0.0,0.0,0.0,150.34,122.48,0.0,0.0
122,KR Sen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,KS Bharat,19.0,67.0,0.0,4.0,0.0,0.0,0.0,0.0,3,2,0,2,0,0,0,0,57,134,0,8,0,0,0,0,95.0,132.67,0.0,114.29,0.0,0.0,0.0,0.0
124,KS Sharma,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0,0,0,1,2,0,0,0,0,0,0,4,12,0,0,0,0.0,0.0,0.0,100.0,57.14,0.0,0.0,0.0
125,KS Williamson,28.0,77.0,13.0,20.3,0.0,0.0,26.0,1.0,4,2,1,10,0,0,1,1,112,154,13,203,0,0,26,1,110.89,105.48,86.67,92.27,0.0,0.0,118.18,20.0
126,KV Sharma,0.0,0.0,0.0,0.0,2.0,1.0,5.5,20.0,0,0,0,0,1,1,2,1,0,0,0,0,2,1,11,20,0.0,0.0,0.0,0.0,100.0,33.33,137.5,250.0
127,Kartik Tyagi,2.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,1,0,0,2,0,0,0,0,2,0,0,7,0,0,0,0,50.0,0.0,0.0,116.67,0.0,0.0,0.0,0.0
128,Kuldeep Yadav,0.0,0.0,3.0,45.0,5.0,26.0,41.0,3.0,0,0,0,1,1,1,1,2,0,0,3,45,5,26,41,6,0.0,0.0,100.0,88.24,83.33,59.09,128.12,50.0
129,Kumar Kushagra,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,33.33,50.0
130,L Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
131,LB Williams,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
132,LH Ferguson,0.0,18.0,2.5,0.0,0.0,0.0,0.0,1.0,0,0,2,0,0,0,0,1,0,18,5,0,0,0,0,1,0.0,138.46,125.0,0.0,0.0,0.0,0.0,100.0
133,LS Livingstone,11.67,3.5,35.33,39.67,30.0,39.75,14.67,33.5,3,2,9,3,4,4,3,2,35,7,318,119,120,159,44,67,102.94,77.78,163.92,177.61,142.86,174.73,118.92,148.89
134,Lalit Yadav,14.0,34.0,12.5,27.2,2.0,16.0,0.0,5.0,1,0,2,5,1,4,0,2,14,34,25,136,2,64,0,10,77.78,106.25,100.0,107.09,50.0,110.34,0.0,83.33
135,Liton Das,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
136,M Ashwin,7.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2,0,0,3,0,0,0,0,15,0,0,12,0,0,0,0,62.5,0.0,0.0,85.71,0.0,0.0,0.0,0.0
137,M Jansen,0.0,0.0,8.0,1.0,17.0,7.33,17.0,1.0,0,0,0,1,0,3,1,0,0,0,8,1,17,22,17,1,0.0,0.0,160.0,50.0,73.91,100.0,121.43,100.0
138,M Markande,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0
139,M Prasidh Krishna,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0.0,0.0,40.0,57.14,0.0,0.0,0.0,0.0
140,M Shahrukh Khan,20.2,23.0,12.33,43.0,28.0,14.67,24.25,10.0,5,2,6,1,4,3,4,3,101,46,74,43,112,44,97,30,121.69,148.39,90.24,119.44,167.16,133.33,161.67,176.47
141,M Theekshana,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0
142,M Vohra,7.0,14.0,0.0,19.0,10.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0,7,14,0,19,10,0,0,0,77.78,127.27,0.0,158.33,90.91,0.0,0.0,0.0
143,MA Agarwal,45.2,40.2,17.25,14.5,21.4,32.6,10.67,32.0,5,5,8,4,5,5,3,1,226,201,138,58,107,163,32,32,138.65,133.11,116.95,118.37,132.1,118.12,86.49,145.45
144,MA Starc,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,81.82,0.0
145,MA Wood,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0
146,MC Henriques,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,80.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0
147,MD Shanaka,0.0,0.0,0.0,0.0,9.0,8.5,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,9,17,0,0,0.0,0.0,0.0,0.0,128.57,89.47,0.0,0.0
148,MG Bracewell,0.0,0.0,0.0,0.0,35.0,23.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,35,23,0,0,0.0,0.0,0.0,0.0,134.62,100.0,0.0,0.0
149,MJ Santner,0.0,0.0,2.0,10.0,2.0,0.0,11.0,1.5,0,0,0,2,0,0,1,2,0,0,2,20,2,0,11,3,0.0,0.0,66.67,74.07,50.0,0.0,100.0,42.86
150,MJ Suthar,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
151,MK Lomror,37.5,19.0,20.0,6.0,16.83,17.0,10.4,24.33,2,1,4,1,6,2,5,3,75,19,80,6,101,34,52,73,144.23,79.17,140.35,200.0,129.49,147.83,144.44,192.11
152,MK Pandey,39.0,38.33,19.25,5.5,20.33,16.5,42.0,0.0,2,3,4,2,3,6,1,0,78,115,77,11,61,99,42,0,120.0,122.34,113.24,68.75,119.61,101.02,127.27,0.0
153,MM Ali,24.57,26.2,26.25,17.0,17.6,18.0,20.67,33.0,7,5,8,2,5,2,3,2,172,131,210,34,88,36,62,66,134.38,122.43,136.36,117.24,137.5,128.57,119.23,124.53
154,MM Sharma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0
155,MP Stoinis,20.0,55.0,14.0,25.0,35.83,27.57,18.75,59.5,1,1,4,4,6,7,8,4,20,55,56,100,215,193,150,238,76.92,166.67,114.29,149.25,161.65,130.41,126.05,155.56
156,MR Marsh,0.0,0.0,24.33,35.6,14.5,14.14,19.0,11.5,0,0,3,5,2,7,2,2,0,0,73,178,29,99,38,23,0.0,0.0,128.07,131.85,152.63,126.92,140.74,164.29
157,MS Dhoni,14.0,44.0,41.75,21.67,23.33,34.0,36.0,89.0,5,1,4,3,3,1,2,1,70,44,167,65,70,34,72,89,90.91,137.5,116.78,118.18,175.0,147.83,205.71,189.36
158,MS Wade,0.0,0.0,11.6,19.8,0.0,0.0,0.0,4.0,0,0,5,5,0,0,0,1,0,0,58,99,0,0,0,4,0.0,0.0,118.37,103.12,0.0,0.0,0.0,57.14
159,MW Short,0.0,0.0,0.0,0.0,18.75,21.0,0.0,0.0,0,0,0,0,4,2,0,0,0,0,0,0,75,42,0,0,0.0,0.0,0.0,0.0,107.14,144.83,0.0,0.0
160,Mandeep Singh,15.0,0.0,0.0,9.0,6.0,2.0,0.0,0.0,1,0,1,2,2,1,0,0,15,0,0,18,12,2,0,0,107.14,0.0,0.0,94.74,100.0,50.0,0.0,0.0
161,Mayank Dagar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Mohammad Nabi,0.0,10.0,0.0,0.0,0.0,0.0,8.0,11.0,0,2,0,0,0,0,3,1,0,20,0,0,0,0,24,11,0.0,222.22,0.0,0.0,0.0,0.0,120.0,100.0
163,Mohammed Shami,13.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1,0,0,0,1,1,0,0,13,0,0,0,0,5,0,0,76.47,0.0,0.0,0.0,0.0,71.43,0.0,0.0
164,Mohammed Siraj,8.0,12.0,2.0,28.0,1.0,0.0,0.0,12.0,1,0,1,1,1,0,0,1,8,12,2,28,1,0,0,12,80.0,80.0,50.0,96.55,50.0,0.0,0.0,133.33
165,Mohit Rathee,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
166,Mohsin Khan,0.0,0.0,13.0,10.0,0.0,0.0,2.0,0.0,0,0,0,1,0,1,1,0,0,0,13,10,0,0,2,0,0.0,0.0,216.67,76.92,0.0,0.0,200.0,0.0
167,Mujeeb Ur Rahman,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Mukesh Choudhary,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
169,Mukesh Kumar,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,3,0.0,0.0,0.0,0.0,0.0,70.0,0.0,30.0
170,Mustafizur Rahman,8.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8,0,0,3,1,0,0,0,114.29,0.0,0.0,60.0,100.0,0.0,0.0,0.0
171,N Jagadeesan,0.0,0.0,40.0,0.0,15.33,14.33,0.0,0.0,0,0,1,0,3,3,0,0,0,0,40,0,46,43,0,0,0.0,0.0,100.0,0.0,88.46,134.38,0.0,0.0
172,N Pooran,5.43,15.67,15.33,52.0,32.67,27.0,58.6,68.67,7,3,3,5,6,6,5,3,38,47,46,260,196,162,293,206,95.0,130.56,121.05,136.84,141.01,207.69,168.39,168.85
173,N Rana,29.25,18.43,38.0,21.38,18.0,47.83,21.0,0.0,4,7,5,8,7,6,2,0,117,129,190,171,126,287,42,0,127.17,100.0,157.02,123.91,131.25,138.65,120.0,0.0
174,N Wadhera,0.0,0.0,0.0,0.0,30.75,23.6,47.5,3.5,0,0,0,0,4,5,2,4,0,0,0,0,123,118,95,14,0.0,0.0,0.0,0.0,148.19,134.09,139.71,63.64
175,NA Saini,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
176,NM Coulter-Nile,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,80.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
177,NT Ellis,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,1,1,0,0,18,0,0,0,0,1,0,0,105.88,0.0,0.0,0.0,0.0,50.0,0.0,0.0
178,Naman Dhir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.67
179,Navdeep Saini,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
180,Naveen-ul-Haq,0.0,0.0,0.0,0.0,2.0,14.0,0.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,2,14,0,2,0.0,0.0,0.0,0.0,66.67,73.68,0.0,50.0
181,Nithish Kumar Reddy,0.0,0.0,0.0,0.0,0.0,0.0,37.33,26.33,0,0,0,0,0,0,6,3,0,0,0,0,0,0,224,79,0.0,0.0,0.0,0.0,0.0,0.0,141.77,125.4
182,Noor Ahmad,0.0,0.0,0.0,0.0,0.0,8.0,1.0,4.0,0,0,0,0,1,1,1,1,0,0,0,0,0,8,1,4,0.0,0.0,0.0,0.0,0.0,100.0,14.29,200.0
183,OC McCoy,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0
184,OF Smith,0.0,0.0,8.67,25.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,26,25,0,0,0,0,0.0,0.0,63.41,277.78,0.0,0.0,0.0,0.0
185,P Dubey,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
186,P Simran Singh,9.5,0.0,14.0,0.0,26.11,24.6,35.25,19.3,2,0,1,0,9,5,4,10,19,0,14,0,235,123,141,193,82.61,0.0,127.27,0.0,152.6,135.16,143.88,163.56
187,PBB Rajapaksa,0.0,0.0,22.0,24.0,17.75,0.0,0.0,0.0,0,0,5,4,4,0,0,0,0,0,110,96,71,0,0,0,0.0,0.0,154.93,145.45,110.94,0.0,0.0,0.0
188,PD Salt,0.0,0.0,0.0,0.0,13.0,32.0,27.56,93.5,0,0,0,0,2,6,9,2,0,0,0,0,26,192,248,187,0.0,0.0,0.0,0.0,162.5,161.34,169.86,179.81
189,PJ Cummins,21.0,72.0,1.5,30.0,0.0,0.0,25.0,18.0,1,1,2,2,0,0,4,2,21,72,3,60,0,0,100,36,105.0,184.62,60.0,315.79,0.0,0.0,133.33,150.0
190,PJ Sangwan,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0
191,PK Garg,14.33,14.5,23.0,0.0,10.0,12.0,0.0,0.0,3,2,2,0,1,1,0,0,43,29,46,0,10,12,0,0,81.13,131.82,139.39,0.0,71.43,133.33,0.0,0.0
192,PN Mankad,0.0,0.0,0.0,4.0,13.0,67.0,0.0,0.0,0,0,0,0,2,1,0,0,0,0,0,4,26,67,0,0,0.0,0.0,0.0,400.0,123.81,126.42,0.0,0.0
193,PP Chawla,0.0,0.0,0.0,0.0,7.0,9.0,4.0,3.67,1,0,0,0,0,2,1,3,0,0,0,0,7,18,4,11,0.0,0.0,0.0,0.0,87.5,128.57,57.14,137.5
194,PP Shaw,37.8,27.0,45.33,21.0,25.33,6.0,22.33,26.2,5,8,3,7,3,5,3,5,189,216,136,147,76,30,67,131,144.27,161.19,152.81,141.35,133.33,90.91,152.27,161.73
195,PVD Chameera,0.0,0.0,9.0,12.5,0.0,0.0,0.0,0.0,0,0,2,2,0,0,0,0,0,0,18,25,0,0,0,0,0.0,0.0,150.0,125.0,0.0,0.0,0.0,0.0
196,PWH de Silva,1.0,0.0,2.67,7.5,26.0,7.0,0.0,0.0,1,0,3,4,1,1,0,0,1,0,8,30,26,7,0,0,50.0,0.0,36.36,115.38,108.33,116.67,0.0,0.0
197,Q de Kock,23.8,44.0,43.0,29.57,22.0,49.5,25.71,17.5,5,4,7,7,2,2,7,4,119,176,301,207,44,99,180,70,107.21,122.22,160.96,126.99,104.76,162.3,139.53,107.69
198,R Ashwin,15.0,22.0,23.83,48.0,21.0,6.25,29.0,7.0,1,1,6,1,2,4,2,4,15,22,143,48,42,25,58,28,107.14,91.67,131.19,154.84,105.0,166.67,145.0,77.78
199,R Dhawan,0.0,0.0,12.0,25.0,10.0,0.0,0.0,0.0,0,0,1,1,2,0,0,0,0,0,12,25,20,0,0,0,0.0,0.0,240.0,69.44,166.67,0.0,0.0,0.0
200,R Parag,15.25,2.5,15.5,28.0,6.0,20.0,99.33,34.38,4,2,10,1,3,3,3,8,61,5,155,28,18,60,298,275,115.09,35.71,144.86,96.55,75.0,136.36,149.0,132.85
201,R Powell,0.0,0.0,30.75,21.17,4.0,1.5,4.0,19.8,0,0,4,6,1,2,1,5,0,0,123,127,4,3,4,99,0.0,0.0,128.12,162.82,100.0,60.0,80.0,150.0
202,R Ravindra,0.0,0.0,0.0,0.0,0.0,0.0,19.75,23.83,0,0,0,0,0,0,4,6,0,0,0,0,0,0,79,143,0.0,0.0,0.0,0.0,0.0,0.0,158.0,148.96
203,R Sai Kishore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.67
204,R Sanjay Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,R Shepherd,0.0,0.0,26.0,16.0,0.0,0.0,40.0,17.0,0,0,0,2,0,1,1,1,0,0,26,32,0,0,40,17,0.0,0.0,173.33,114.29,0.0,0.0,285.71,170.0
206,R Tewatia,14.0,19.5,14.4,72.5,26.0,20.33,30.0,24.5,4,4,5,2,1,3,3,4,56,78,72,145,26,61,90,98,101.82,105.41,114.29,155.91,200.0,127.08,140.62,130.67
207,RA Bawa,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,0.0,0.0,84.62,0.0,0.0,0.0,0.0,0.0
208,RA Jadeja,86.0,29.0,29.67,9.0,15.88,63.0,39.0,55.5,2,1,3,3,8,0,4,2,172,29,89,27,127,63,156,111,124.64,193.33,127.14,77.14,125.74,170.27,133.33,150.0
209,RA Tripathi,31.0,26.29,37.33,33.44,18.17,27.33,28.0,26.5,5,7,3,9,6,6,4,2,155,184,112,301,109,164,112,53,131.36,138.35,147.37,154.36,111.22,137.82,136.59,135.9
210,RD Chahar,6.0,0.0,9.6,29.0,0.0,0.0,0.0,21.0,1,2,5,1,1,1,0,1,6,0,48,29,0,0,0,21,100.0,0.0,120.0,96.67,0.0,0.0,0.0,140.0
211,RD Gaikwad,51.0,45.5,30.9,14.75,44.89,37.2,65.43,31.25,7,6,10,4,9,5,7,4,357,273,309,59,404,186,458,125,136.78,133.82,127.69,105.36,150.19,130.99,152.16,100.81
212,RG Sharma,32.83,24.4,22.6,17.22,15.0,24.2,19.0,40.25,6,5,5,9,6,10,5,8,197,122,113,155,90,242,95,322,120.12,127.08,122.83,109.15,123.29,130.81,143.94,141.85
213,RJ Gleeson,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
214,RJW Topley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
215,RK Bhui,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,0.0
216,RK Singh,0.0,0.0,25.5,41.0,28.17,152.5,19.0,16.0,0,0,2,3,6,2,8,1,0,0,51,123,169,305,152,16,0.0,0.0,118.6,150.0,114.19,164.86,152.0,94.12
217,RM Patidar,16.0,31.0,72.75,21.0,0.0,0.0,35.62,22.0,2,1,4,2,0,0,8,5,32,31,291,42,0,0,285,110,133.33,96.88,152.36,102.44,0.0,0.0,174.85,148.65
218,RP Meredith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,RR Pant,33.4,31.0,34.5,28.86,0.0,0.0,43.5,37.0,5,6,4,7,0,0,6,5,167,186,138,202,0,0,261,185,119.29,121.57,128.97,159.06,0.0,0.0,154.44,145.67
220,RR Rossouw,0.0,0.0,0.0,0.0,45.0,23.8,29.0,25.5,0,0,0,0,2,5,2,6,0,0,0,0,90,119,58,153,0.0,0.0,0.0,0.0,191.49,117.82,175.76,171.91
221,RV Patel,7.0,18.0,0.0,6.0,14.0,21.0,0.0,0.0,0,1,0,1,2,1,0,0,7,18,0,6,28,21,0,0,77.78,90.0,0.0,200.0,140.0,87.5,0.0,0.0
222,RV Uthappa,17.33,63.0,26.43,11.25,0.0,0.0,0.0,0.0,3,1,7,4,0,0,0,0,52,63,185,45,0,0,0,0,126.83,140.0,136.03,100.0,0.0,0.0,0.0,0.0
223,Rahmanullah Gurbaz,0.0,0.0,0.0,0.0,32.8,10.5,0.0,31.0,0,0,0,0,5,6,0,2,0,0,0,0,164,63,0,62,0.0,0.0,0.0,0.0,145.13,96.92,0.0,124.0
224,Ramandeep Singh,0.0,0.0,6.0,39.0,0.0,0.0,31.25,0.0,0,0,1,1,0,0,4,0,0,0,6,39,0,0,125,0,0.0,0.0,50.0,130.0,0.0,0.0,195.31,0.0
225,Rashid Khan,27.0,2.4,6.33,72.0,2.67,122.0,26.5,16.33,2,5,3,1,3,1,2,3,54,12,19,72,8,122,53,49,112.5,85.71,172.73,218.18,100.0,210.34,129.27,144.12
226,Rasikh Salam,0.0,0.0,0.0,7.0,0.0,0.0,8.5,5.5,0,0,0,1,0,0,2,2,0,0,0,7,0,0,17,11,0.0,0.0,0.0,116.67,0.0,0.0,130.77,64.71
227,Ravi Bishnoi,1.0,0.0,0.0,0.0,5.0,7.5,0.0,2.0,1,0,0,0,1,2,1,2,1,0,0,0,5,15,0,4,20.0,0.0,0.0,0.0,125.0,62.5,0.0,80.0
228,S Dhawan,24.33,49.57,36.5,42.0,57.33,9.67,45.0,26.75,6,7,8,4,6,3,1,4,146,347,292,168,344,29,45,107,106.57,126.18,119.18,112.0,134.38,152.63,118.42,122.99
229,S Dube,28.0,40.33,30.14,26.0,34.0,48.67,45.0,25.2,3,3,7,3,8,3,6,5,84,121,211,78,272,146,270,126,113.51,111.01,148.59,150.0,162.87,132.73,181.21,114.55
230,S Gopal,7.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,140.0,0.0,0.0,128.57,0.0,0.0,0.0,0.0
231,S Kaul,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,140.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0
232,SA Abbott,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0
233,SA Yadav,31.17,7.17,55.0,34.5,37.0,46.67,24.5,41.17,6,6,3,4,5,9,4,6,187,43,165,138,185,420,98,247,148.41,110.26,157.14,131.43,162.28,185.84,140.0,177.7
234,SB Dubey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
235,SD Hope,0.0,0.0,0.0,0.0,0.0,0.0,20.67,29.5,0,0,0,0,0,0,6,2,0,0,0,0,0,0,124,59,0.0,0.0,0.0,0.0,0.0,0.0,153.09,134.09
236,SE Rutherford,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,33,0,0,0,0,0.0,0.0,0.0,63.46,0.0,0.0,0.0,0.0
237,SH Johnson,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,83.33
