,player,batting_avg_2021_innings_1,batting_avg_2021_innings_2,batting_avg_2022_innings_1,batting_avg_2022_innings_2,batting_avg_2023_innings_1,batting_avg_2023_innings_2,batting_avg_2024_innings_1,batting_avg_2024_innings_2,dismissals_2021_innings_1,dismissals_2021_innings_2,dismissals_2022_innings_1,dismissals_2022_innings_2,dismissals_2023_innings_1,dismissals_2023_innings_2,dismissals_2024_innings_1,dismissals_2024_innings_2,runs_scored_2021_innings_1,runs_scored_2021_innings_2,runs_scored_2022_innings_1,runs_scored_2022_innings_2,runs_scored_2023_innings_1,runs_scored_2023_innings_2,runs_scored_2024_innings_1,runs_scored_2024_innings_2,strike_rate_2021_innings_1,strike_rate_2021_innings_2,strike_rate_2022_innings_1,strike_rate_2022_innings_2,strike_rate_2023_innings_1,strike_rate_2023_innings_2,strike_rate_2024_innings_1,strike_rate_2024_innings_2
26,Akash Deep,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,17,2,0,0.0,0.0,0.0,0.0,0.0,212.5,100.0,0.0
27,Akash Madhwal,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0
28,Aman Hakim Khan,0.0,0.0,5.0,0.0,21.0,9.4,0.0,0.0,0,0,1,0,3,5,0,0,0,0,5,0,63,47,0,0,0.0,0.0,166.67,0.0,116.67,90.38,0.0,0.0
29,Anmolpreet Singh,0.0,16.0,8.0,5.0,33.5,19.0,5.0,0.0,0,1,1,1,2,2,1,1,0,16,8,5,67,38,5,0,0.0,114.29,88.89,125.0,124.07,131.03,83.33,0.0
30,Anuj Rawat,0.0,0.0,6.25,26.0,45.0,1.0,25.5,23.5,0,1,4,4,2,1,2,2,0,0,25,104,90,1,51,47,0.0,0.0,83.33,111.83,134.33,20.0,175.86,92.16
31,Arjun Tendulkar,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0.0,0.0,0.0,0.0,0.0,144.44,0.0,0.0
32,Arshad Khan,0.0,0.0,0.0,0.0,9.0,0.0,20.0,58.0,0,0,0,0,2,0,1,0,0,0,0,0,18,0,20,58,0.0,0.0,0.0,0.0,120.0,0.0,111.11,170.59
33,Arshad Khan (2),0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0
34,Arshdeep Singh,2.0,0.0,6.33,2.0,0.0,2.0,0.0,4.0,0,0,3,0,0,0,0,1,2,0,19,2,0,2,0,4,66.67,0.0,79.17,33.33,0.0,100.0,0.0,100.0
35,Ashutosh Sharma,0.0,0.0,0.0,0.0,0.0,0.0,12.0,38.25,0,0,0,0,0,0,3,4,0,0,0,0,0,0,36,153,0.0,0.0,0.0,0.0,0.0,0.0,128.57,170.0
36,Atharva Taide,0.0,0.0,0.0,0.0,24.0,27.6,30.5,0.0,0,0,0,0,2,5,2,0,0,0,0,0,48,138,61,0,0.0,0.0,0.0,0.0,154.84,131.43,148.78,0.0
37,Avesh Khan,5.0,0.0,2.0,20.0,0.0,0.0,3.0,7.0,1,0,0,1,0,0,0,0,5,0,2,20,0,0,3,7,166.67,0.0,40.0,250.0,0.0,0.0,150.0,233.33
38,Azmatullah Omarzai,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.33,0,0,0,0,0,0,1,3,0,0,0,0,0,0,17,25,0.0,0.0,0.0,0.0,0.0,0.0,154.55,108.7
39,B Indrajith,0.0,0.0,6.0,7.5,0.0,0.0,0.0,0.0,0,0,1,2,0,0,0,0,0,0,6,15,0,0,0,0,0.0,0.0,75.0,65.22,0.0,0.0,0.0,0.0
40,B Kumar,14.0,18.0,1.0,11.5,2.0,13.33,3.0,17.0,0,1,1,2,0,3,2,1,14,18,1,23,2,40,6,17,100.0,112.5,100.0,85.19,200.0,83.33,46.15,100.0
41,B Sai Sudharsan,0.0,0.0,76.0,23.0,51.8,51.5,56.6,40.67,0,0,1,3,5,2,5,6,0,0,76,69,259,103,283,244,0.0,0.0,120.63,125.45,145.51,119.77,149.74,122.61
42,BA Stokes,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
43,BR Sharath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
44,C Green,0.0,0.0,0.0,0.0,32.75,64.2,59.0,4.75,0,0,0,0,4,5,4,4,0,0,0,0,131,321,236,19,0.0,0.0,0.0,0.0,154.12,158.91,143.9,90.48
45,C Sakariya,3.75,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4,1,0,0,0,1,0,0,15,1,0,0,0,4,0,0,75.0,20.0,0.0,0.0,0.0,66.67,0.0,0.0
46,CH Gayle,13.75,43.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,110,43,0,0,0,0,0,0,118.28,113.16,0.0,0.0,0.0,0.0,0.0,0.0
47,CH Morris,9.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,0,0,0,29,0,0,0,0,0,0,0,107.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,CJ Jordan,16.0,0.0,6.0,5.0,4.0,2.0,0.0,0.0,2,0,0,1,1,1,0,0,32,0,6,5,4,2,0,0,152.38,0.0,150.0,100.0,57.14,33.33,0.0,0.0
49,CV Varun,0.0,2.0,10.0,2.0,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,2,10,2,1,0,0,0,0.0,50.0,62.5,100.0,12.5,0.0,0.0,0.0
50,D Brevis,0.0,0.0,13.67,30.0,0.0,0.0,0.0,34.5,0,0,3,4,0,0,1,2,0,0,41,120,0,0,0,69,0.0,0.0,110.81,151.9,0.0,0.0,0.0,116.95
51,D Ferreira,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,87.5,33.33
52,D Padikkal,27.86,41.0,25.62,10.75,20.25,30.0,5.0,6.5,7,5,13,4,4,6,5,2,195,205,333,43,81,180,25,13,110.17,136.67,128.08,75.44,128.57,125.87,67.57,56.52
53,D Pretorius,0.0,0.0,0.0,14.67,0.0,0.0,0.0,0.0,0,0,1,3,0,0,0,0,0,0,0,44,0,0,0,0,0.0,0.0,0.0,162.96,0.0,0.0,0.0,0.0
54,D Wiese,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,0.0,222.22,50.0,0.0,0.0
55,DA Miller,14.5,16.5,32.2,160.0,32.0,32.75,28.67,41.33,2,2,5,2,4,4,3,3,29,33,161,320,128,131,86,124,90.62,82.5,122.9,147.47,148.84,133.67,117.81,163.16
56,DA Warner,28.5,20.25,40.5,54.0,31.4,39.89,40.5,14.5,2,4,4,5,5,9,2,6,57,81,162,270,157,359,81,87,95.0,95.29,127.56,155.17,115.44,132.96,142.11,119.18
57,DG Nalkande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.09
58,DJ Bravo,47.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,47,0,22,1,0,0,0,0,213.64,0.0,91.67,50.0,0.0,0.0,0.0,0.0
59,DJ Hooda,13.29,1.5,36.86,27.57,9.25,6.71,19.75,16.5,7,2,7,7,4,7,4,4,93,3,258,193,37,47,79,66,102.2,50.0,139.46,124.52,97.37,85.45,123.44,153.49
60,DJ Malan,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,DJ Mitchell,0.0,0.0,16.5,0.0,0.0,0.0,29.6,28.33,0,0,2,0,0,0,5,6,0,0,33,0,0,0,148,170,0.0,0.0,71.74,0.0,0.0,0.0,135.78,142.86
62,DJ Willey,0.0,0.0,0.0,9.0,4.0,31.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,18,4,31,0,0,0.0,0.0,0.0,56.25,200.0,103.33,0.0,0.0
63,DL Chahar,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0
64,DP Conway,0.0,0.0,39.2,56.0,55.75,45.2,0.0,0.0,0,0,5,1,8,5,0,0,0,0,196,56,446,226,0,0,0.0,0.0,141.01,151.35,145.75,120.86,0.0,0.0
65,DR Sams,3.0,3.0,6.0,5.2,0.0,0.0,0.0,0.0,0,1,2,5,0,0,0,0,3,3,12,26,0,0,0,0,150.0,75.0,150.0,81.25,0.0,0.0,0.0,0.0
66,DT Christian,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,0,10,2,0,0,0,0,0,0,83.33,28.57,0.0,0.0,0.0,0.0,0.0,0.0
67,Dhruv Jurel,0.0,0.0,0.0,0.0,14.25,31.67,22.67,25.4,0,0,0,0,4,3,3,5,0,0,0,0,57,95,68,127,0.0,0.0,0.0,0.0,162.86,163.79,151.11,128.28
68,E Lewis,31.0,27.0,5.5,62.0,0.0,0.0,0.0,0.0,4,1,2,1,0,0,0,0,124,27,11,62,0,0,0,0,147.62,225.0,78.57,134.78,0.0,0.0,0.0,0.0
69,EJG Morgan,5.75,16.83,0.0,0.0,0.0,0.0,0.0,0.0,4,6,0,0,0,0,0,0,23,101,0,0,0,0,0,0,76.67,99.02,0.0,0.0,0.0,0.0,0.0,0.0
70,F du Plessis,53.12,39.2,41.62,19.29,60.5,49.2,28.78,29.83,8,5,8,7,8,5,9,6,425,196,333,135,484,246,259,179,140.26,126.45,132.14,108.0,142.35,172.03,140.76,194.57
71,FA Allen,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,6,0,0,8,0,0,0,0,54.55,0.0,0.0,114.29,0.0,0.0,0.0,0.0
72,Fazalhaq Farooqi,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0.0,0.0,0.0,25.0,0.0,20.0,0.0,0.0
73,G Coetzee,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5,9,0.0,0.0,0.0,0.0,0.0,0.0,41.67,90.0
74,GD Phillips,4.0,22.0,0.0,0.0,2.0,16.5,0.0,0.0,1,1,0,0,3,2,0,0,4,22,0,0,6,33,0,0,30.77,110.0,0.0,0.0,66.67,253.85,0.0,0.0
75,GHS Garton,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0
76,GJ Maxwell,36.0,54.33,24.0,36.33,33.0,34.33,7.5,2.33,7,3,8,3,9,3,6,3,252,163,192,109,297,103,45,7,132.63,150.93,150.0,194.64,173.68,190.74,128.57,63.64
77,Gulbadin Naib,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,126.67,0.0
78,H Klaasen,0.0,0.0,0.0,0.0,63.75,38.6,42.12,35.5,0,0,0,0,4,5,8,4,0,0,0,0,255,193,337,142,0.0,0.0,0.0,0.0,172.3,169.3,169.35,151.06
79,HC Brook,0.0,0.0,0.0,0.0,37.0,8.4,0.0,0.0,0,0,0,0,4,5,0,0,0,0,0,0,148,42,0,0,0.0,0.0,0.0,0.0,149.49,70.0,0.0,0.0
80,HE van der Dussen,0.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,16,6,0,0,0,0,0.0,0.0,114.29,54.55,0.0,0.0,0.0,0.0
