,striker,U_n_n,m_a_t,s_e_a,s_t_a,v_e_n,i_n_n,b_a_l,b_a_t,b_o_w,s_t_r,n_o_n,b_o_w,r_u_n,e_x_t,w_i_d,n_o_b,b_y_e,l_e_g,p_e_n,w_i_c,p_l_a,o_t_h,o_t_h,t_o_t,y_e_a
33,33,Arshad Khan,,,,,1.2,,1.1111111111111112,1.7058823529411764,,,,,18.0,,20.0,58.0,,,,,120.0,,111.11111111111111,170.58823529411765
34,34,Arshad Khan (2),,,,,,,1.25,,,,,,,,5.0,,,,,,,,125.0,
35,35,Arshdeep Singh,0.6666666666666666,,0.7916666666666666,0.3333333333333333,,1.0,,1.0,2.0,,19.0,2.0,,2.0,,4.0,66.66666666666666,,79.16666666666666,33.33333333333333,,100.0,,100.0
36,36,Ashutosh Sharma,,,,,,,1.2857142857142858,1.7,,,,,,,36.0,153.0,,,,,,,128.57142857142858,170.0
37,37,Atharva Taide,,,,,1.5483870967741935,1.3142857142857145,1.4878048780487805,,,,,,48.0,138.0,61.0,,,,,,154.83870967741936,131.42857142857142,148.78048780487805,
38,38,Avesh Khan,1.6666666666666667,,0.4,2.5,,0.0,1.5,2.333333333333333,5.0,,2.0,20.0,,0.0,3.0,7.0,166.66666666666669,,40.0,250.0,,0.0,150.0,233.33333333333331
39,39,Azmatullah Omarzai,,,,,,,1.5454545454545454,1.0869565217391304,,,,,,,17.0,25.0,,,,,,,154.54545454545453,108.69565217391305
40,40,B Indrajith,,,0.75,0.6521739130434783,,,,,,,6.0,15.0,,,,,,,75.0,65.21739130434783,,,,
41,41,B Kumar,1.0,1.125,1.0,0.8518518518518519,2.0,0.8333333333333334,0.4615384615384615,1.0,14.0,18.0,1.0,23.0,2.0,40.0,6.0,17.0,100.0,112.5,100.0,85.18518518518519,200.0,83.33333333333334,46.15384615384615,100.0
42,42,B Sai Sudharsan,,,1.2063492063492065,1.2545454545454546,1.4550561797752808,1.197674418604651,1.4973544973544974,1.2261306532663316,,,76.0,69.0,259.0,103.0,283.0,244.0,,,120.63492063492065,125.45454545454548,145.5056179775281,119.76744186046513,149.73544973544975,122.61306532663316
43,43,BA Stokes,,,,,1.0,,,,,,,,15.0,,,,,,,,100.0,,,
44,44,BR Sharath,,,,,,,,0.4,,,,,,,,2.0,,,,,,,,40.0
45,45,C Green,,,,,1.5411764705882354,1.5891089108910892,1.4390243902439024,0.9047619047619048,,,,,131.0,321.0,236.0,19.0,,,,,154.11764705882354,158.91089108910893,143.90243902439025,90.47619047619048
46,46,C Sakariya,0.75,0.2,,,,0.6666666666666666,,,15.0,1.0,,,,4.0,,,75.0,20.0,,,,66.66666666666666,,
47,47,CH Gayle,1.1827956989247312,1.131578947368421,,,,,,,110.0,43.0,,,,,,,118.27956989247312,113.1578947368421,,,,,,
48,48,CH Morris,1.0740740740740742,0.0,,,,,,,29.0,0.0,,,,,,,107.40740740740742,0.0,,,,,,
49,49,CJ Jordan,1.5238095238095235,,1.5,1.0,0.5714285714285714,0.3333333333333333,,,32.0,,6.0,5.0,4.0,2.0,,,152.38095238095238,,150.0,100.0,57.14285714285714,33.33333333333333,,
